"ID"	"State"	"InitialState"
"HKB0040_3002_T"	"S01"	"IS02"
"HKB0054_3000_T"	"S01"	"IS02"
"HKB0074_3000_T"	"S01"	"IS02"
"HKB0120_3000_T"	"S01"	"IS02"
"HKB0129_3000_T"	"S01"	"IS02"
"HKB0155_3000_T"	"S01"	"IS02"
"HKB0186_3000_T"	"S01"	"IS02"
"HKB0207_3001_T"	"S01"	"IS02"
"HKB0220_3000_T"	"S01"	"IS02"
"HKB0573_3000_T"	"S01"	"IS02"
"HKB0579_3000_T"	"S01"	"IS02"
"HKB0736_3000_T"	"S01"	"IS02"
"HKB0751_3000_T"	"S01"	"IS02"
"HKB0008_3006_T"	"S02"	"IS08"
"HKB0031_3001_T"	"S02"	"IS08"
"HKB0033_3006_T"	"S02"	"IS08"
"HKB0064_3004_T"	"S02"	"IS08"
"HKB0067_3006_T"	"S02"	"IS08"
"HKB0089_3001_T"	"S02"	"IS08"
"HKB0102_3006_T"	"S02"	"IS08"
"HKB0143_3006_T"	"S02"	"IS08"
"HKB0162_3006_T"	"S02"	"IS08"
"HKB0164_3006_T"	"S02"	"IS08"
"HKB0038_3000_N"	"S02"	"IS08"
"HKB0007_3005_T"	"S03"	"IS05"
"HKB0044_3006_T"	"S03"	"IS05"
"HKB0069_3000_T"	"S03"	"IS05"
"HKB0079_3006_T"	"S03"	"IS05"
"HKB0082_3006_T"	"S03"	"IS05"
"HKB0091_3001_T"	"S03"	"IS05"
"HKB0098_3005_T"	"S03"	"IS05"
"HKB0137_3002_T"	"S03"	"IS05"
"HKB0167_3006_T"	"S03"	"IS05"
"HKB0194_3006_T"	"S03"	"IS05"
"HKB0674_3000_T"	"S03"	"IS05"
"HKB0710_3000_T"	"S03"	"IS05"
"HKB0718_3000_T"	"S03"	"IS05"
"HKB0752_3000_T"	"S03"	"IS05"
"HKB0216_3000_N"	"S03"	"IS05"
"HKB0576_3000_T"	"S04"	"IS11"
"HKB0220_3003_N"	"S04"	"IS11"
"HKB0648_3000_N"	"S04"	"IS11"
"HKB0160_3000_T"	"S05"	"IS06"
"HKB0019_3000_N"	"S05"	"IS06"
"HKB0023_3000_N"	"S05"	"IS06"
"HKB0033_3000_N"	"S05"	"IS06"
"HKB0040_3000_N"	"S05"	"IS06"
