"ID"	"State"	"InitialState"
"HKB0016_3006_T"	"HKB0016_3006_T"	"S01"	"IS01"
"HKB0040_3000_N"	"HKB0040_3000_N"	"S01"	"IS01"
"HKB0040_3002_T"	"HKB0040_3002_T"	"S01"	"IS01"
"HKB0050_3005_T"	"HKB0050_3005_T"	"S01"	"IS01"
"HKB0052_3000_T"	"HKB0052_3000_T"	"S01"	"IS01"
"HKB0054_3000_T"	"HKB0054_3000_T"	"S01"	"IS01"
"HKB0069_3000_T"	"HKB0069_3000_T"	"S01"	"IS01"
"HKB0074_3000_T"	"HKB0074_3000_T"	"S01"	"IS01"
"HKB0094_3006_T"	"HKB0094_3006_T"	"S01"	"IS01"
"HKB0098_3005_T"	"HKB0098_3005_T"	"S01"	"IS01"
"HKB0120_3000_T"	"HKB0120_3000_T"	"S01"	"IS01"
"HKB0127_3006_T"	"HKB0127_3006_T"	"S01"	"IS01"
"HKB0129_3000_T"	"HKB0129_3000_T"	"S01"	"IS01"
"HKB0143_3006_T"	"HKB0143_3006_T"	"S01"	"IS01"
"HKB0155_3000_T"	"HKB0155_3000_T"	"S01"	"IS01"
"HKB0162_3006_T"	"HKB0162_3006_T"	"S01"	"IS01"
"HKB0167_3006_T"	"HKB0167_3006_T"	"S01"	"IS01"
"HKB0186_3000_T"	"HKB0186_3000_T"	"S01"	"IS01"
"HKB0194_3006_T"	"HKB0194_3006_T"	"S01"	"IS01"
"HKB0214_3006_T"	"HKB0214_3006_T"	"S01"	"IS01"
"HKB0220_3000_T"	"HKB0220_3000_T"	"S01"	"IS01"
"HKB0573_3000_T"	"HKB0573_3000_T"	"S01"	"IS01"
"HKB0579_3000_T"	"HKB0579_3000_T"	"S01"	"IS01"
"HKB0605_3000_T"	"HKB0605_3000_T"	"S01"	"IS01"
"HKB0650_3000_T"	"HKB0650_3000_T"	"S01"	"IS01"
"HKB0659_3000_T"	"HKB0659_3000_T"	"S01"	"IS01"
"HKB0674_3000_T"	"HKB0674_3000_T"	"S01"	"IS01"
"HKB0683_3000_T"	"HKB0683_3000_T"	"S01"	"IS01"
"HKB0736_3000_T"	"HKB0736_3000_T"	"S01"	"IS01"
"HKB0737_3000_T"	"HKB0737_3000_T"	"S01"	"IS01"
"HKB0751_3000_T"	"HKB0751_3000_T"	"S01"	"IS01"
"HKB0752_3000_T"	"HKB0752_3000_T"	"S01"	"IS01"
"HKB0008_3006_T"	"HKB0008_3006_T"	"S02"	"IS03"
"HKB0064_3004_T"	"HKB0064_3004_T"	"S02"	"IS03"
"HKB0067_3000_N"	"HKB0067_3000_N"	"S02"	"IS03"
"HKB0067_3006_T"	"HKB0067_3006_T"	"S02"	"IS03"
"HKB0089_3001_T"	"HKB0089_3001_T"	"S02"	"IS03"
"HKB0109_3000_N"	"HKB0109_3000_N"	"S02"	"IS03"
"HKB0162_3000_N"	"HKB0162_3000_N"	"S02"	"IS03"
"HKB0191_3001_T"	"HKB0191_3001_T"	"S02"	"IS03"
"HKB0207_3000_N"	"HKB0207_3000_N"	"S02"	"IS03"
"HKB0211_3000_N"	"HKB0211_3000_N"	"S02"	"IS03"
"HKB0220_3003_N"	"HKB0220_3003_N"	"S02"	"IS03"
"HKB0574_3000_N"	"HKB0574_3000_N"	"S02"	"IS03"
"HKB0576_3000_T"	"HKB0576_3000_T"	"S02"	"IS03"
"HKB0577_3000_N"	"HKB0577_3000_N"	"S02"	"IS03"
"HKB0597_3000_N"	"HKB0597_3000_N"	"S02"	"IS03"
"HKB0618_3000_N"	"HKB0618_3000_N"	"S02"	"IS03"
"HKB0648_3000_N"	"HKB0648_3000_N"	"S02"	"IS03"
"HKB0672_3000_N"	"HKB0672_3000_N"	"S02"	"IS03"
"HKB0744_3001_N"	"HKB0744_3001_N"	"S02"	"IS03"
"HKB0748_3001_N"	"HKB0748_3001_N"	"S02"	"IS03"
"HKB0007_3005_T"	"HKB0007_3005_T"	"S03"	"IS05"
"HKB0044_3006_T"	"HKB0044_3006_T"	"S03"	"IS05"
"HKB0056_3002_T"	"HKB0056_3002_T"	"S03"	"IS05"
"HKB0065_3006_T"	"HKB0065_3006_T"	"S03"	"IS05"
"HKB0079_3006_T"	"HKB0079_3006_T"	"S03"	"IS05"
"HKB0082_3006_T"	"HKB0082_3006_T"	"S03"	"IS05"
"HKB0091_3001_T"	"HKB0091_3001_T"	"S03"	"IS05"
"HKB0134_3006_T"	"HKB0134_3006_T"	"S03"	"IS05"
"HKB0137_3002_T"	"HKB0137_3002_T"	"S03"	"IS05"
"HKB0216_3000_N"	"HKB0216_3000_N"	"S03"	"IS05"
"HKB0710_3000_T"	"HKB0710_3000_T"	"S03"	"IS05"
"HKB0718_3000_T"	"HKB0718_3000_T"	"S03"	"IS05"
