"ID"	"State"	"InitialState"
"HKB0004_3006_T"	"HKB0004_3006_T"	"S01"	"IS05"
"HKB0005_3000_N"	"HKB0005_3000_N"	"S01"	"IS05"
"HKB0005_3001_T"	"HKB0005_3001_T"	"S01"	"IS05"
"HKB0019_3006_T"	"HKB0019_3006_T"	"S01"	"IS05"
"HKB0035_3000_N"	"HKB0035_3000_N"	"S01"	"IS05"
"HKB0044_3000_N"	"HKB0044_3000_N"	"S01"	"IS05"
"HKB0065_3006_T"	"HKB0065_3006_T"	"S01"	"IS05"
"HKB0122_3002_N"	"HKB0122_3002_N"	"S01"	"IS05"
"HKB0125_3006_T"	"HKB0125_3006_T"	"S01"	"IS05"
"HKB0134_3006_T"	"HKB0134_3006_T"	"S01"	"IS05"
"HKB0157_3006_T"	"HKB0157_3006_T"	"S01"	"IS05"
"HKB0161_3001_T"	"HKB0161_3001_T"	"S01"	"IS05"
"HKB0168_3000_N"	"HKB0168_3000_N"	"S01"	"IS05"
"HKB0182_3006_T"	"HKB0182_3006_T"	"S01"	"IS05"
"HKB0211_3002_T"	"HKB0211_3002_T"	"S01"	"IS05"
"HKB0650_3000_T"	"HKB0650_3000_T"	"S01"	"IS05"
"HKB0677_3000_T"	"HKB0677_3000_T"	"S01"	"IS05"
"HKB0752_3000_T"	"HKB0752_3000_T"	"S01"	"IS05"
"HKB0004_3000_N"	"HKB0004_3000_N"	"S02"	"IS04"
"HKB0006_3000_N"	"HKB0006_3000_N"	"S02"	"IS04"
"HKB0019_3000_N"	"HKB0019_3000_N"	"S02"	"IS04"
"HKB0023_3000_N"	"HKB0023_3000_N"	"S02"	"IS04"
"HKB0033_3000_N"	"HKB0033_3000_N"	"S02"	"IS04"
"HKB0036_3000_N"	"HKB0036_3000_N"	"S02"	"IS04"
"HKB0038_3000_N"	"HKB0038_3000_N"	"S02"	"IS04"
"HKB0040_3000_N"	"HKB0040_3000_N"	"S02"	"IS04"
"HKB0049_3000_N"	"HKB0049_3000_N"	"S02"	"IS04"
"HKB0050_3000_N"	"HKB0050_3000_N"	"S02"	"IS04"
"HKB0052_3004_N"	"HKB0052_3004_N"	"S02"	"IS04"
"HKB0064_3000_N"	"HKB0064_3000_N"	"S02"	"IS04"
"HKB0067_3000_N"	"HKB0067_3000_N"	"S02"	"IS04"
"HKB0074_3000_T"	"HKB0074_3000_T"	"S02"	"IS04"
"HKB0074_3003_N"	"HKB0074_3003_N"	"S02"	"IS04"
"HKB0079_3000_N"	"HKB0079_3000_N"	"S02"	"IS04"
"HKB0094_3000_N"	"HKB0094_3000_N"	"S02"	"IS04"
"HKB0096_3000_N"	"HKB0096_3000_N"	"S02"	"IS04"
"HKB0097_3004_N"	"HKB0097_3004_N"	"S02"	"IS04"
"HKB0098_3000_N"	"HKB0098_3000_N"	"S02"	"IS04"
"HKB0102_3000_N"	"HKB0102_3000_N"	"S02"	"IS04"
"HKB0106_3000_N"	"HKB0106_3000_N"	"S02"	"IS04"
"HKB0109_3000_N"	"HKB0109_3000_N"	"S02"	"IS04"
"HKB0115_3000_N"	"HKB0115_3000_N"	"S02"	"IS04"
"HKB0120_3002_N"	"HKB0120_3002_N"	"S02"	"IS04"
"HKB0121_3000_N"	"HKB0121_3000_N"	"S02"	"IS04"
"HKB0123_3000_N"	"HKB0123_3000_N"	"S02"	"IS04"
"HKB0124_3000_N"	"HKB0124_3000_N"	"S02"	"IS04"
"HKB0129_3002_N"	"HKB0129_3002_N"	"S02"	"IS04"
"HKB0132_3000_N"	"HKB0132_3000_N"	"S02"	"IS04"
"HKB0133_3000_N"	"HKB0133_3000_N"	"S02"	"IS04"
"HKB0137_3000_N"	"HKB0137_3000_N"	"S02"	"IS04"
"HKB0143_3000_N"	"HKB0143_3000_N"	"S02"	"IS04"
"HKB0149_3000_N"	"HKB0149_3000_N"	"S02"	"IS04"
"HKB0150_3000_N"	"HKB0150_3000_N"	"S02"	"IS04"
"HKB0155_3003_N"	"HKB0155_3003_N"	"S02"	"IS04"
"HKB0157_3000_N"	"HKB0157_3000_N"	"S02"	"IS04"
"HKB0158_3000_N"	"HKB0158_3000_N"	"S02"	"IS04"
"HKB0159_3000_N"	"HKB0159_3000_N"	"S02"	"IS04"
"HKB0160_3000_T"	"HKB0160_3000_T"	"S02"	"IS04"
"HKB0160_3001_N"	"HKB0160_3001_N"	"S02"	"IS04"
"HKB0161_3000_N"	"HKB0161_3000_N"	"S02"	"IS04"
"HKB0162_3000_N"	"HKB0162_3000_N"	"S02"	"IS04"
"HKB0164_3000_N"	"HKB0164_3000_N"	"S02"	"IS04"
"HKB0167_3000_N"	"HKB0167_3000_N"	"S02"	"IS04"
"HKB0179_3000_N"	"HKB0179_3000_N"	"S02"	"IS04"
"HKB0186_3002_N"	"HKB0186_3002_N"	"S02"	"IS04"
"HKB0194_3000_N"	"HKB0194_3000_N"	"S02"	"IS04"
"HKB0196_3000_N"	"HKB0196_3000_N"	"S02"	"IS04"
"HKB0198_3000_N"	"HKB0198_3000_N"	"S02"	"IS04"
"HKB0207_3000_N"	"HKB0207_3000_N"	"S02"	"IS04"
"HKB0210_3000_N"	"HKB0210_3000_N"	"S02"	"IS04"
"HKB0211_3000_N"	"HKB0211_3000_N"	"S02"	"IS04"
"HKB0214_3000_N"	"HKB0214_3000_N"	"S02"	"IS04"
"HKB0219_3000_N"	"HKB0219_3000_N"	"S02"	"IS04"
"HKB0220_3003_N"	"HKB0220_3003_N"	"S02"	"IS04"
"HKB0221_3000_N"	"HKB0221_3000_N"	"S02"	"IS04"
"HKB0222_3000_N"	"HKB0222_3000_N"	"S02"	"IS04"
"HKB0225_3000_N"	"HKB0225_3000_N"	"S02"	"IS04"
"HKB0226_3000_N"	"HKB0226_3000_N"	"S02"	"IS04"
"HKB0227_3000_N"	"HKB0227_3000_N"	"S02"	"IS04"
"HKB0538_3000_N"	"HKB0538_3000_N"	"S02"	"IS04"
"HKB0562_3000_N"	"HKB0562_3000_N"	"S02"	"IS04"
"HKB0571_3000_N"	"HKB0571_3000_N"	"S02"	"IS04"
"HKB0574_3000_N"	"HKB0574_3000_N"	"S02"	"IS04"
"HKB0577_3000_N"	"HKB0577_3000_N"	"S02"	"IS04"
"HKB0583_3000_N"	"HKB0583_3000_N"	"S02"	"IS04"
"HKB0597_3000_N"	"HKB0597_3000_N"	"S02"	"IS04"
"HKB0618_3000_N"	"HKB0618_3000_N"	"S02"	"IS04"
"HKB0636_3000_N"	"HKB0636_3000_N"	"S02"	"IS04"
"HKB0648_3000_N"	"HKB0648_3000_N"	"S02"	"IS04"
"HKB0651_3000_N"	"HKB0651_3000_N"	"S02"	"IS04"
"HKB0657_3000_N"	"HKB0657_3000_N"	"S02"	"IS04"
"HKB0663_3000_N"	"HKB0663_3000_N"	"S02"	"IS04"
"HKB0666_3000_N"	"HKB0666_3000_N"	"S02"	"IS04"
"HKB0672_3000_N"	"HKB0672_3000_N"	"S02"	"IS04"
"HKB0710_3001_N"	"HKB0710_3001_N"	"S02"	"IS04"
"HKB0718_3001_N"	"HKB0718_3001_N"	"S02"	"IS04"
"HKB0719_3001_N"	"HKB0719_3001_N"	"S02"	"IS04"
"HKB0722_3001_N"	"HKB0722_3001_N"	"S02"	"IS04"
"HKB0744_3001_N"	"HKB0744_3001_N"	"S02"	"IS04"
"HKB0748_3001_N"	"HKB0748_3001_N"	"S02"	"IS04"
"HKB0751_3001_N"	"HKB0751_3001_N"	"S02"	"IS04"
"HKB0752_3001_N"	"HKB0752_3001_N"	"S02"	"IS04"
"HKB0008_3006_T"	"HKB0008_3006_T"	"S03"	"IS07"
"HKB0023_3006_T"	"HKB0023_3006_T"	"S03"	"IS07"
"HKB0038_3006_T"	"HKB0038_3006_T"	"S03"	"IS07"
"HKB0049_3006_T"	"HKB0049_3006_T"	"S03"	"IS07"
"HKB0064_3004_T"	"HKB0064_3004_T"	"S03"	"IS07"
"HKB0086_3006_T"	"HKB0086_3006_T"	"S03"	"IS07"
"HKB0088_3000_T"	"HKB0088_3000_T"	"S03"	"IS07"
"HKB0120_3000_T"	"HKB0120_3000_T"	"S03"	"IS07"
"HKB0168_3006_T"	"HKB0168_3006_T"	"S03"	"IS07"
"HKB0186_3000_T"	"HKB0186_3000_T"	"S03"	"IS07"
"HKB0208_3006_T"	"HKB0208_3006_T"	"S03"	"IS07"
"HKB0209_3004_T"	"HKB0209_3004_T"	"S03"	"IS07"
"HKB0216_3000_N"	"HKB0216_3000_N"	"S03"	"IS07"
"HKB0564_3000_T"	"HKB0564_3000_T"	"S03"	"IS07"
"HKB0576_3000_T"	"HKB0576_3000_T"	"S03"	"IS07"
"HKB0579_3000_T"	"HKB0579_3000_T"	"S03"	"IS07"
"HKB0665_3000_T"	"HKB0665_3000_T"	"S03"	"IS07"
"HKB0701_3000_T"	"HKB0701_3000_T"	"S03"	"IS07"
"HKB0737_3000_T"	"HKB0737_3000_T"	"S03"	"IS07"
"HKB0036_3006_T"	"HKB0036_3006_T"	"S04"	"IS08"
"HKB0040_3002_T"	"HKB0040_3002_T"	"S04"	"IS08"
"HKB0044_3006_T"	"HKB0044_3006_T"	"S04"	"IS08"
"HKB0050_3005_T"	"HKB0050_3005_T"	"S04"	"IS08"
"HKB0054_3000_T"	"HKB0054_3000_T"	"S04"	"IS08"
"HKB0056_3002_T"	"HKB0056_3002_T"	"S04"	"IS08"
"HKB0069_3000_T"	"HKB0069_3000_T"	"S04"	"IS08"
"HKB0079_3006_T"	"HKB0079_3006_T"	"S04"	"IS08"
"HKB0082_3006_T"	"HKB0082_3006_T"	"S04"	"IS08"
"HKB0084_3000_T"	"HKB0084_3000_T"	"S04"	"IS08"
"HKB0091_3001_T"	"HKB0091_3001_T"	"S04"	"IS08"
"HKB0098_3005_T"	"HKB0098_3005_T"	"S04"	"IS08"
"HKB0137_3002_T"	"HKB0137_3002_T"	"S04"	"IS08"
"HKB0143_3006_T"	"HKB0143_3006_T"	"S04"	"IS08"
"HKB0167_3006_T"	"HKB0167_3006_T"	"S04"	"IS08"
"HKB0194_3006_T"	"HKB0194_3006_T"	"S04"	"IS08"
"HKB0228_3002_T"	"HKB0228_3002_T"	"S04"	"IS08"
"HKB0573_3000_T"	"HKB0573_3000_T"	"S04"	"IS08"
"HKB0659_3000_T"	"HKB0659_3000_T"	"S04"	"IS08"
"HKB0674_3000_T"	"HKB0674_3000_T"	"S04"	"IS08"
"HKB0710_3000_T"	"HKB0710_3000_T"	"S04"	"IS08"
"HKB0718_3000_T"	"HKB0718_3000_T"	"S04"	"IS08"
"HKB0736_3000_T"	"HKB0736_3000_T"	"S04"	"IS08"
"HKB0751_3000_T"	"HKB0751_3000_T"	"S04"	"IS08"
"HKB0007_3005_T"	"HKB0007_3005_T"	"S05"	"IS01"
"HKB0052_3000_T"	"HKB0052_3000_T"	"S05"	"IS01"
"HKB0067_3006_T"	"HKB0067_3006_T"	"S05"	"IS01"
"HKB0070_3002_T"	"HKB0070_3002_T"	"S05"	"IS01"
"HKB0089_3001_T"	"HKB0089_3001_T"	"S05"	"IS01"
"HKB0092_3000_T"	"HKB0092_3000_T"	"S05"	"IS01"
"HKB0115_3006_T"	"HKB0115_3006_T"	"S05"	"IS01"
"HKB0124_3003_T"	"HKB0124_3003_T"	"S05"	"IS01"
"HKB0127_3006_T"	"HKB0127_3006_T"	"S05"	"IS01"
"HKB0129_3000_T"	"HKB0129_3000_T"	"S05"	"IS01"
"HKB0158_3006_T"	"HKB0158_3006_T"	"S05"	"IS01"
"HKB0162_3006_T"	"HKB0162_3006_T"	"S05"	"IS01"
"HKB0164_3006_T"	"HKB0164_3006_T"	"S05"	"IS01"
"HKB0220_3000_T"	"HKB0220_3000_T"	"S05"	"IS01"
