"ID"	"State"	"InitialState"
"HKB0040_3002_T"	"HKB0040_3002_T"	"S01"	"IS04"
"HKB0044_3006_T"	"HKB0044_3006_T"	"S01"	"IS04"
"HKB0050_3005_T"	"HKB0050_3005_T"	"S01"	"IS04"
"HKB0054_3000_T"	"HKB0054_3000_T"	"S01"	"IS04"
"HKB0069_3000_T"	"HKB0069_3000_T"	"S01"	"IS04"
"HKB0079_3006_T"	"HKB0079_3006_T"	"S01"	"IS04"
"HKB0082_3006_T"	"HKB0082_3006_T"	"S01"	"IS04"
"HKB0098_3005_T"	"HKB0098_3005_T"	"S01"	"IS04"
"HKB0167_3006_T"	"HKB0167_3006_T"	"S01"	"IS04"
"HKB0194_3006_T"	"HKB0194_3006_T"	"S01"	"IS04"
"HKB0219_3000_N"	"HKB0219_3000_N"	"S01"	"IS04"
"HKB0573_3000_T"	"HKB0573_3000_T"	"S01"	"IS04"
"HKB0579_3000_T"	"HKB0579_3000_T"	"S01"	"IS04"
"HKB0659_3000_T"	"HKB0659_3000_T"	"S01"	"IS04"
"HKB0674_3000_T"	"HKB0674_3000_T"	"S01"	"IS04"
"HKB0710_3000_T"	"HKB0710_3000_T"	"S01"	"IS04"
"HKB0718_3000_T"	"HKB0718_3000_T"	"S01"	"IS04"
"HKB0736_3000_T"	"HKB0736_3000_T"	"S01"	"IS04"
"HKB0751_3000_T"	"HKB0751_3000_T"	"S01"	"IS04"
"HKB0752_3000_T"	"HKB0752_3000_T"	"S01"	"IS04"
"HKB0008_3006_T"	"HKB0008_3006_T"	"S02"	"IS02"
"HKB0064_3000_N"	"HKB0064_3000_N"	"S02"	"IS02"
"HKB0097_3004_N"	"HKB0097_3004_N"	"S02"	"IS02"
"HKB0098_3000_N"	"HKB0098_3000_N"	"S02"	"IS02"
"HKB0123_3000_N"	"HKB0123_3000_N"	"S02"	"IS02"
"HKB0124_3000_N"	"HKB0124_3000_N"	"S02"	"IS02"
"HKB0132_3000_N"	"HKB0132_3000_N"	"S02"	"IS02"
