"ID"	"State"	"InitialState"
"HKB0007_3005_T"	"HKB0007_3005_T"	"S01"	"IS07"
"HKB0040_3002_T"	"HKB0040_3002_T"	"S01"	"IS07"
"HKB0054_3000_T"	"HKB0054_3000_T"	"S01"	"IS07"
"HKB0069_3000_T"	"HKB0069_3000_T"	"S01"	"IS07"
"HKB0074_3000_T"	"HKB0074_3000_T"	"S01"	"IS07"
"HKB0079_3006_T"	"HKB0079_3006_T"	"S01"	"IS07"
"HKB0082_3006_T"	"HKB0082_3006_T"	"S01"	"IS07"
"HKB0098_3005_T"	"HKB0098_3005_T"	"S01"	"IS07"
"HKB0129_3000_T"	"HKB0129_3000_T"	"S01"	"IS07"
"HKB0186_3000_T"	"HKB0186_3000_T"	"S01"	"IS07"
"HKB0214_3006_T"	"HKB0214_3006_T"	"S01"	"IS07"
"HKB0650_3000_T"	"HKB0650_3000_T"	"S01"	"IS07"
"HKB0659_3000_T"	"HKB0659_3000_T"	"S01"	"IS07"
"HKB0718_3000_T"	"HKB0718_3000_T"	"S01"	"IS07"
"HKB0751_3000_T"	"HKB0751_3000_T"	"S01"	"IS07"
"HKB0008_3006_T"	"HKB0008_3006_T"	"S02"	"IS09"
"HKB0050_3005_T"	"HKB0050_3005_T"	"S02"	"IS09"
"HKB0064_3004_T"	"HKB0064_3004_T"	"S02"	"IS09"
"HKB0067_3006_T"	"HKB0067_3006_T"	"S02"	"IS09"
"HKB0091_3001_T"	"HKB0091_3001_T"	"S02"	"IS09"
"HKB0120_3000_T"	"HKB0120_3000_T"	"S02"	"IS09"
"HKB0167_3006_T"	"HKB0167_3006_T"	"S02"	"IS09"
"HKB0194_3006_T"	"HKB0194_3006_T"	"S02"	"IS09"
"HKB0220_3000_T"	"HKB0220_3000_T"	"S02"	"IS09"
"HKB0573_3000_T"	"HKB0573_3000_T"	"S02"	"IS09"
"HKB0674_3000_T"	"HKB0674_3000_T"	"S02"	"IS09"
"HKB0710_3000_T"	"HKB0710_3000_T"	"S02"	"IS09"
"HKB0736_3000_T"	"HKB0736_3000_T"	"S02"	"IS09"
"HKB0752_3000_T"	"HKB0752_3000_T"	"S02"	"IS09"
"HKB0210_3000_N"	"HKB0210_3000_N"	"S03"	"IS05"
"HKB0210_3006_T"	"HKB0210_3006_T"	"S03"	"IS05"
"HKB0036_3006_T"	"HKB0036_3006_T"	"S04"	"IS01"
"HKB0044_3006_T"	"HKB0044_3006_T"	"S04"	"IS01"
"HKB0106_3006_T"	"HKB0106_3006_T"	"S04"	"IS01"
"HKB0721_3000_T"	"HKB0721_3000_T"	"S04"	"IS01"
"HKB0004_3000_N"	"HKB0004_3000_N"	"S05"	"IS08"
