"ID"	"State"	"InitialState"
"HKB0007_3005_T"	"S01"	"IS07"
"HKB0040_3002_T"	"S01"	"IS07"
"HKB0054_3000_T"	"S01"	"IS07"
"HKB0069_3000_T"	"S01"	"IS07"
"HKB0074_3000_T"	"S01"	"IS07"
"HKB0079_3006_T"	"S01"	"IS07"
"HKB0082_3006_T"	"S01"	"IS07"
"HKB0098_3005_T"	"S01"	"IS07"
"HKB0129_3000_T"	"S01"	"IS07"
"HKB0186_3000_T"	"S01"	"IS07"
"HKB0214_3006_T"	"S01"	"IS07"
"HKB0650_3000_T"	"S01"	"IS07"
"HKB0659_3000_T"	"S01"	"IS07"
"HKB0718_3000_T"	"S01"	"IS07"
"HKB0751_3000_T"	"S01"	"IS07"
"HKB0008_3006_T"	"S02"	"IS09"
"HKB0050_3005_T"	"S02"	"IS09"
"HKB0064_3004_T"	"S02"	"IS09"
"HKB0067_3006_T"	"S02"	"IS09"
"HKB0091_3001_T"	"S02"	"IS09"
"HKB0120_3000_T"	"S02"	"IS09"
"HKB0167_3006_T"	"S02"	"IS09"
"HKB0194_3006_T"	"S02"	"IS09"
"HKB0220_3000_T"	"S02"	"IS09"
"HKB0573_3000_T"	"S02"	"IS09"
"HKB0674_3000_T"	"S02"	"IS09"
"HKB0710_3000_T"	"S02"	"IS09"
"HKB0736_3000_T"	"S02"	"IS09"
"HKB0752_3000_T"	"S02"	"IS09"
"HKB0210_3006_T"	"S03"	"IS05"
"HKB0210_3000_N"	"S03"	"IS05"
"HKB0036_3006_T"	"S04"	"IS01"
"HKB0044_3006_T"	"S04"	"IS01"
"HKB0106_3006_T"	"S04"	"IS01"
"HKB0721_3000_T"	"S04"	"IS01"
"HKB0160_3000_T"	"S05"	"IS08"
"HKB0004_3000_N"	"S05"	"IS08"
"HKB0005_3000_N"	"S05"	"IS08"
"HKB0006_3000_N"	"S05"	"IS08"
"HKB0019_3000_N"	"S05"	"IS08"
"HKB0023_3000_N"	"S05"	"IS08"
"HKB0033_3000_N"	"S05"	"IS08"
"HKB0035_3000_N"	"S05"	"IS08"
"HKB0036_3000_N"	"S05"	"IS08"
"HKB0038_3000_N"	"S05"	"IS08"
"HKB0040_3000_N"	"S05"	"IS08"
"HKB0049_3000_N"	"S05"	"IS08"
"HKB0050_3000_N"	"S05"	"IS08"
"HKB0052_3004_N"	"S05"	"IS08"
"HKB0064_3000_N"	"S05"	"IS08"
"HKB0067_3000_N"	"S05"	"IS08"
"HKB0074_3003_N"	"S05"	"IS08"
"HKB0094_3000_N"	"S05"	"IS08"
"HKB0096_3000_N"	"S05"	"IS08"
"HKB0097_3004_N"	"S05"	"IS08"
"HKB0098_3000_N"	"S05"	"IS08"
"HKB0102_3000_N"	"S05"	"IS08"
"HKB0106_3000_N"	"S05"	"IS08"
"HKB0109_3000_N"	"S05"	"IS08"
"HKB0115_3000_N"	"S05"	"IS08"
"HKB0120_3002_N"	"S05"	"IS08"
"HKB0121_3000_N"	"S05"	"IS08"
"HKB0122_3002_N"	"S05"	"IS08"
"HKB0123_3000_N"	"S05"	"IS08"
"HKB0124_3000_N"	"S05"	"IS08"
"HKB0129_3002_N"	"S05"	"IS08"
"HKB0132_3000_N"	"S05"	"IS08"
"HKB0133_3000_N"	"S05"	"IS08"
"HKB0137_3000_N"	"S05"	"IS08"
"HKB0143_3000_N"	"S05"	"IS08"
"HKB0149_3000_N"	"S05"	"IS08"
"HKB0150_3000_N"	"S05"	"IS08"
"HKB0155_3003_N"	"S05"	"IS08"
"HKB0157_3000_N"	"S05"	"IS08"
"HKB0158_3000_N"	"S05"	"IS08"
"HKB0159_3000_N"	"S05"	"IS08"
"HKB0160_3001_N"	"S05"	"IS08"
"HKB0161_3000_N"	"S05"	"IS08"
"HKB0162_3000_N"	"S05"	"IS08"
"HKB0167_3000_N"	"S05"	"IS08"
"HKB0168_3000_N"	"S05"	"IS08"
"HKB0179_3000_N"	"S05"	"IS08"
"HKB0186_3002_N"	"S05"	"IS08"
"HKB0194_3000_N"	"S05"	"IS08"
"HKB0196_3000_N"	"S05"	"IS08"
"HKB0198_3000_N"	"S05"	"IS08"
"HKB0207_3000_N"	"S05"	"IS08"
"HKB0211_3000_N"	"S05"	"IS08"
