"ID"	"State"	"InitialState"
"HKB0023_3006_T"	"HKB0023_3006_T"	"S01"	"IS01"
"HKB0050_3005_T"	"HKB0050_3005_T"	"S01"	"IS01"
"HKB0137_3002_T"	"HKB0137_3002_T"	"S01"	"IS01"
"HKB0155_3000_T"	"HKB0155_3000_T"	"S01"	"IS01"
"HKB0210_3006_T"	"HKB0210_3006_T"	"S01"	"IS01"
"HKB0211_3002_T"	"HKB0211_3002_T"	"S01"	"IS01"
"HKB0233_3000_N"	"HKB0233_3000_N"	"S01"	"IS01"
"HKB0004_3000_N"	"HKB0004_3000_N"	"S02"	"IS05"
"HKB0006_3000_N"	"HKB0006_3000_N"	"S02"	"IS05"
"HKB0019_3000_N"	"HKB0019_3000_N"	"S02"	"IS05"
"HKB0023_3000_N"	"HKB0023_3000_N"	"S02"	"IS05"
"HKB0033_3000_N"	"HKB0033_3000_N"	"S02"	"IS05"
"HKB0036_3000_N"	"HKB0036_3000_N"	"S02"	"IS05"
"HKB0038_3000_N"	"HKB0038_3000_N"	"S02"	"IS05"
"HKB0040_3000_N"	"HKB0040_3000_N"	"S02"	"IS05"
"HKB0049_3000_N"	"HKB0049_3000_N"	"S02"	"IS05"
"HKB0050_3000_N"	"HKB0050_3000_N"	"S02"	"IS05"
"HKB0052_3000_T"	"HKB0052_3000_T"	"S02"	"IS05"
"HKB0052_3004_N"	"HKB0052_3004_N"	"S02"	"IS05"
"HKB0064_3000_N"	"HKB0064_3000_N"	"S02"	"IS05"
"HKB0067_3000_N"	"HKB0067_3000_N"	"S02"	"IS05"
"HKB0074_3000_T"	"HKB0074_3000_T"	"S02"	"IS05"
"HKB0074_3003_N"	"HKB0074_3003_N"	"S02"	"IS05"
"HKB0079_3000_N"	"HKB0079_3000_N"	"S02"	"IS05"
"HKB0094_3000_N"	"HKB0094_3000_N"	"S02"	"IS05"
"HKB0096_3000_N"	"HKB0096_3000_N"	"S02"	"IS05"
"HKB0097_3004_N"	"HKB0097_3004_N"	"S02"	"IS05"
"HKB0098_3000_N"	"HKB0098_3000_N"	"S02"	"IS05"
"HKB0102_3000_N"	"HKB0102_3000_N"	"S02"	"IS05"
"HKB0106_3000_N"	"HKB0106_3000_N"	"S02"	"IS05"
"HKB0109_3000_N"	"HKB0109_3000_N"	"S02"	"IS05"
"HKB0115_3000_N"	"HKB0115_3000_N"	"S02"	"IS05"
"HKB0120_3002_N"	"HKB0120_3002_N"	"S02"	"IS05"
"HKB0121_3000_N"	"HKB0121_3000_N"	"S02"	"IS05"
"HKB0122_3002_N"	"HKB0122_3002_N"	"S02"	"IS05"
"HKB0123_3000_N"	"HKB0123_3000_N"	"S02"	"IS05"
"HKB0124_3000_N"	"HKB0124_3000_N"	"S02"	"IS05"
"HKB0129_3000_T"	"HKB0129_3000_T"	"S02"	"IS05"
"HKB0129_3002_N"	"HKB0129_3002_N"	"S02"	"IS05"
"HKB0132_3000_N"	"HKB0132_3000_N"	"S02"	"IS05"
"HKB0133_3000_N"	"HKB0133_3000_N"	"S02"	"IS05"
"HKB0137_3000_N"	"HKB0137_3000_N"	"S02"	"IS05"
"HKB0143_3000_N"	"HKB0143_3000_N"	"S02"	"IS05"
"HKB0149_3000_N"	"HKB0149_3000_N"	"S02"	"IS05"
"HKB0150_3000_N"	"HKB0150_3000_N"	"S02"	"IS05"
"HKB0155_3003_N"	"HKB0155_3003_N"	"S02"	"IS05"
"HKB0157_3000_N"	"HKB0157_3000_N"	"S02"	"IS05"
"HKB0158_3000_N"	"HKB0158_3000_N"	"S02"	"IS05"
"HKB0159_3000_N"	"HKB0159_3000_N"	"S02"	"IS05"
"HKB0160_3000_T"	"HKB0160_3000_T"	"S02"	"IS05"
"HKB0160_3001_N"	"HKB0160_3001_N"	"S02"	"IS05"
"HKB0161_3000_N"	"HKB0161_3000_N"	"S02"	"IS05"
"HKB0162_3000_N"	"HKB0162_3000_N"	"S02"	"IS05"
"HKB0164_3000_N"	"HKB0164_3000_N"	"S02"	"IS05"
"HKB0167_3000_N"	"HKB0167_3000_N"	"S02"	"IS05"
"HKB0179_3000_N"	"HKB0179_3000_N"	"S02"	"IS05"
"HKB0186_3002_N"	"HKB0186_3002_N"	"S02"	"IS05"
"HKB0194_3000_N"	"HKB0194_3000_N"	"S02"	"IS05"
"HKB0196_3000_N"	"HKB0196_3000_N"	"S02"	"IS05"
"HKB0198_3000_N"	"HKB0198_3000_N"	"S02"	"IS05"
"HKB0207_3000_N"	"HKB0207_3000_N"	"S02"	"IS05"
"HKB0210_3000_N"	"HKB0210_3000_N"	"S02"	"IS05"
"HKB0211_3000_N"	"HKB0211_3000_N"	"S02"	"IS05"
"HKB0214_3000_N"	"HKB0214_3000_N"	"S02"	"IS05"
"HKB0219_3000_N"	"HKB0219_3000_N"	"S02"	"IS05"
"HKB0221_3000_N"	"HKB0221_3000_N"	"S02"	"IS05"
"HKB0222_3000_N"	"HKB0222_3000_N"	"S02"	"IS05"
"HKB0226_3000_N"	"HKB0226_3000_N"	"S02"	"IS05"
"HKB0227_3000_N"	"HKB0227_3000_N"	"S02"	"IS05"
"HKB0571_3000_N"	"HKB0571_3000_N"	"S02"	"IS05"
"HKB0574_3000_N"	"HKB0574_3000_N"	"S02"	"IS05"
"HKB0577_3000_N"	"HKB0577_3000_N"	"S02"	"IS05"
"HKB0583_3000_N"	"HKB0583_3000_N"	"S02"	"IS05"
"HKB0597_3000_N"	"HKB0597_3000_N"	"S02"	"IS05"
