"ID"	"State"	"InitialState"
"BC_HKB0662_1294_T"	"S01"	"IS01"
"BC_HKB0022_649_T"	"S01"	"IS01"
"BC_HKB0112_933_T"	"S01"	"IS01"
"BC_HKB1385_1721_T"	"S01"	"IS01"
"BC_HKB0199_1263_T"	"S01"	"IS01"
"BC_HKB0779_1486_T"	"S01"	"IS01"
"BC_HKB0873_1549_T"	"S01"	"IS01"
"BC_HKB0899_M1605_T"	"S01"	"IS01"
"BC_HKB0543_1306_T"	"S01"	"IS01"
"BC_HKB0728_1447_T"	"S01"	"IS01"
"HKB0040_3002_T"	"S01"	"IS01"
"HKB0054_3000_T"	"S01"	"IS01"
"HKB0069_3000_T"	"S01"	"IS01"
"HKB0132_3006_T"	"S01"	"IS01"
"HKB0155_3000_T"	"S01"	"IS01"
"HKB0168_3006_T"	"S01"	"IS01"
"HKB0182_3006_T"	"S01"	"IS01"
"HKB0214_3006_T"	"S01"	"IS01"
"HKB0573_3000_T"	"S01"	"IS01"
"HKB0620_3000_T"	"S01"	"IS01"
"HKB0659_3000_T"	"S01"	"IS01"
"HKB0674_3000_T"	"S01"	"IS01"
"HKB0736_3000_T"	"S01"	"IS01"
"HKB0751_3000_T"	"S01"	"IS01"
"BC_HKB0668_1298_T"	"S02"	"IS09"
"BC_HKB1366_1663_T"	"S02"	"IS09"
"HKB0004_3006_T"	"S02"	"IS09"
"HKB0056_3002_T"	"S02"	"IS09"
"HKB0157_3006_T"	"S02"	"IS09"
"HKB0210_3006_T"	"S02"	"IS09"
"HKB0677_3000_T"	"S02"	"IS09"
"BC_HKB0555_1321_T"	"S03"	"IS04"
"BC_HKB0567_M1337_T"	"S03"	"IS04"
"BC_HKB0757_1496_T"	"S03"	"IS04"
"BC_HKB0828_M1542_T"	"S03"	"IS04"
"BC_HKB0763_1511_T"	"S03"	"IS04"
"BC_HKB0761_1499_T"	"S03"	"IS04"
"BC_HKB0890_1550_T"	"S03"	"IS04"
"BC_HKB0839_M1561_T"	"S03"	"IS04"
"BC_HKB0786_1508_T"	"S03"	"IS04"
"HKB0049_3006_T"	"S03"	"IS04"
"HKB0052_3000_T"	"S03"	"IS04"
"HKB0064_3004_T"	"S03"	"IS04"
"HKB0074_3000_T"	"S03"	"IS04"
"HKB0102_3006_T"	"S03"	"IS04"
"HKB0120_3000_T"	"S03"	"IS04"
"HKB0124_3003_T"	"S03"	"IS04"
"HKB0129_3000_T"	"S03"	"IS04"
"HKB0158_3006_T"	"S03"	"IS04"
"HKB0160_3000_T"	"S03"	"IS04"
"HKB0161_3001_T"	"S03"	"IS04"
"HKB0186_3000_T"	"S03"	"IS04"
"HKB0207_3001_T"	"S03"	"IS04"
"HKB0230_3006_T"	"S03"	"IS04"
"HKB0552_3000_T"	"S03"	"IS04"
"HKB0719_3002_T"	"S03"	"IS04"
"BC_HKB0778_1480_T"	"S04"	"IS02"
"BC_HKB0832_1546_T"	"S04"	"IS02"
"BC_HKB2118_1689_T"	"S04"	"IS02"
"BC_HKB2123_1695_T"	"S04"	"IS02"
"BC_HKB0830_1541_T"	"S04"	"IS02"
"BC_HKB0904_1595_T"	"S04"	"IS02"
"BC_HKB0741_1471_T"	"S04"	"IS02"
"BC_HKB2106_1619_T"	"S04"	"IS02"
"BC_HKB0733_1459_T"	"S04"	"IS02"
"BC_HKB0775_1470_T"	"S04"	"IS02"
"BC_HKB0764_1510_T"	"S04"	"IS02"
"BC_HKB2107_1620_T"	"S04"	"IS02"
"BC_HKB0838_1563_T"	"S04"	"IS02"
"BC_HKB0738_1475_T"	"S04"	"IS02"
"BC_HKB2113_1657_T"	"S04"	"IS02"
"BC_HKB0715_1407_T"	"S04"	"IS02"
"BC_HKB0902_1617_T"	"S04"	"IS02"
"BC_HKB0913_1654_T"	"S04"	"IS02"
"BC_HKB1365_M1665_T"	"S04"	"IS02"
"BC_HKB0769_1519_T"	"S04"	"IS02"
"BC_HKB2127_1726_T"	"S04"	"IS02"
"BC_HKB1368_1669_T"	"S04"	"IS02"
"BC_HKB0831_1520_T"	"S05"	"IS08"
"BC_HKB2109_1628_T"	"S05"	"IS08"
"BC_HKB0921_1575_T"	"S05"	"IS08"
"HKB0007_3005_T"	"S05"	"IS08"
"HKB0008_3006_T"	"S05"	"IS08"
"HKB0016_3006_T"	"S05"	"IS08"
"HKB0031_3001_T"	"S05"	"IS08"
