"ID"	"State"	"InitialState"
"BC_HKB0662_1294_T"	"S01"	"IS01"
"BC_HKB0112_933_T"	"S01"	"IS01"
"BC_HKB0831_1520_T"	"S01"	"IS01"
"BC_HKB0921_1575_T"	"S01"	"IS01"
"BC_HKB1385_1721_T"	"S01"	"IS01"
"BC_HKB0199_1263_T"	"S01"	"IS01"
"BC_HKB0779_1486_T"	"S01"	"IS01"
"BC_HKB0873_1549_T"	"S01"	"IS01"
"BC_HKB0890_1550_T"	"S01"	"IS01"
"BC_HKB2113_1657_T"	"S01"	"IS01"
"BC_HKB0899_M1605_T"	"S01"	"IS01"
"BC_HKB0543_1306_T"	"S01"	"IS01"
"BC_HKB0728_1447_T"	"S01"	"IS01"
"HKB0016_3006_T"	"S01"	"IS01"
"HKB0035_3006_T"	"S01"	"IS01"
"HKB0040_3002_T"	"S01"	"IS01"
"HKB0050_3005_T"	"S01"	"IS01"
"HKB0052_3000_T"	"S01"	"IS01"
"HKB0054_3000_T"	"S01"	"IS01"
"HKB0069_3000_T"	"S01"	"IS01"
"HKB0074_3000_T"	"S01"	"IS01"
"HKB0094_3006_T"	"S01"	"IS01"
"HKB0098_3005_T"	"S01"	"IS01"
"HKB0127_3006_T"	"S01"	"IS01"
"HKB0129_3000_T"	"S01"	"IS01"
"HKB0132_3006_T"	"S01"	"IS01"
"HKB0155_3000_T"	"S01"	"IS01"
"HKB0167_3006_T"	"S01"	"IS01"
"HKB0186_3000_T"	"S01"	"IS01"
"HKB0194_3006_T"	"S01"	"IS01"
"HKB0214_3006_T"	"S01"	"IS01"
"HKB0220_3000_T"	"S01"	"IS01"
"HKB0573_3000_T"	"S01"	"IS01"
"HKB0579_3000_T"	"S01"	"IS01"
"HKB0650_3000_T"	"S01"	"IS01"
"HKB0659_3000_T"	"S01"	"IS01"
"HKB0674_3000_T"	"S01"	"IS01"
"HKB0719_3002_T"	"S01"	"IS01"
"HKB0736_3000_T"	"S01"	"IS01"
"HKB0737_3000_T"	"S01"	"IS01"
"HKB0751_3000_T"	"S01"	"IS01"
"BC_HKB0022_649_T"	"S02"	"IS03"
"HKB0008_3006_T"	"S02"	"IS03"
"HKB0033_3006_T"	"S02"	"IS03"
"HKB0064_3004_T"	"S02"	"IS03"
"HKB0067_3006_T"	"S02"	"IS03"
"HKB0070_3002_T"	"S02"	"IS03"
"HKB0089_3001_T"	"S02"	"IS03"
"HKB0120_3000_T"	"S02"	"IS03"
"HKB0137_3002_T"	"S02"	"IS03"
"HKB0143_3006_T"	"S02"	"IS03"
"HKB0164_3006_T"	"S02"	"IS03"
"HKB0179_3006_T"	"S02"	"IS03"
"HKB0191_3001_T"	"S02"	"IS03"
"HKB0209_3004_T"	"S02"	"IS03"
"HKB0222_3006_T"	"S02"	"IS03"
"HKB0227_3006_T"	"S02"	"IS03"
"HKB0576_3000_T"	"S02"	"IS03"
"HKB0599_3000_T"	"S02"	"IS03"
"HKB0722_3002_T"	"S02"	"IS03"
"BC_HKB0882_1555_T"	"S03"	"IS05"
"BC_HKB2116_1671_T"	"S03"	"IS05"
"HKB0007_3005_T"	"S03"	"IS05"
"HKB0036_3006_T"	"S03"	"IS05"
"HKB0044_3006_T"	"S03"	"IS05"
"HKB0056_3002_T"	"S03"	"IS05"
"HKB0065_3006_T"	"S03"	"IS05"
"HKB0079_3006_T"	"S03"	"IS05"
"HKB0082_3006_T"	"S03"	"IS05"
"HKB0084_3000_T"	"S03"	"IS05"
"HKB0091_3001_T"	"S03"	"IS05"
"HKB0121_3006_T"	"S03"	"IS05"
"HKB0134_3006_T"	"S03"	"IS05"
"HKB0710_3000_T"	"S03"	"IS05"
"HKB0718_3000_T"	"S03"	"IS05"
