"ID"	"State"	"InitialState"
"BC_HKB0555_1321_T"	"S01"	"IS01"
"BC_HKB0022_649_T"	"S01"	"IS01"
"BC_HKB0567_M1337_T"	"S01"	"IS01"
"BC_HKB0741_1471_T"	"S01"	"IS01"
"BC_HKB0757_1496_T"	"S01"	"IS01"
"BC_HKB0828_M1542_T"	"S01"	"IS01"
"BC_HKB0763_1511_T"	"S01"	"IS01"
"BC_HKB0838_1563_T"	"S01"	"IS01"
"BC_HKB0199_1263_T"	"S01"	"IS01"
"BC_HKB0738_1475_T"	"S01"	"IS01"
"BC_HKB0761_1499_T"	"S01"	"IS01"
"BC_HKB0890_1550_T"	"S01"	"IS01"
"BC_HKB0786_1508_T"	"S01"	"IS01"
"HKB0049_3006_T"	"S01"	"IS01"
"HKB0052_3000_T"	"S01"	"IS01"
"HKB0054_3000_T"	"S01"	"IS01"
"HKB0064_3004_T"	"S01"	"IS01"
"HKB0074_3000_T"	"S01"	"IS01"
"HKB0097_3000_T"	"S01"	"IS01"
"HKB0102_3006_T"	"S01"	"IS01"
"HKB0120_3000_T"	"S01"	"IS01"
"HKB0124_3003_T"	"S01"	"IS01"
"HKB0129_3000_T"	"S01"	"IS01"
"HKB0141_3006_T"	"S01"	"IS01"
"HKB0155_3000_T"	"S01"	"IS01"
"HKB0158_3006_T"	"S01"	"IS01"
"HKB0160_3000_T"	"S01"	"IS01"
"HKB0161_3001_T"	"S01"	"IS01"
"HKB0179_3006_T"	"S01"	"IS01"
"HKB0186_3000_T"	"S01"	"IS01"
"HKB0207_3001_T"	"S01"	"IS01"
"HKB0220_3000_T"	"S01"	"IS01"
"HKB0552_3000_T"	"S01"	"IS01"
"HKB0573_3000_T"	"S01"	"IS01"
"HKB0683_3000_T"	"S01"	"IS01"
"HKB0719_3002_T"	"S01"	"IS01"
"HKB0751_3000_T"	"S01"	"IS01"
"BC_HKB0892_1559_T"	"S02"	"IS02"
"BC_HKB0729_1445_T"	"S02"	"IS02"
"BC_HKB0187_1214_T"	"S02"	"IS02"
"BC_HKB0876_1543_T"	"S02"	"IS02"
"BC_HKB0905_1623_T"	"S02"	"IS02"
"BC_HKB0913_1654_T"	"S02"	"IS02"
"BC_HKB0215_1134_T"	"S02"	"IS02"
"HKB0004_3006_T"	"S02"	"IS02"
"HKB0005_3001_T"	"S02"	"IS02"
"HKB0007_3005_T"	"S02"	"IS02"
"HKB0008_3006_T"	"S02"	"IS02"
"HKB0016_3006_T"	"S02"	"IS02"
"HKB0019_3006_T"	"S02"	"IS02"
"HKB0023_3006_T"	"S02"	"IS02"
"HKB0031_3001_T"	"S02"	"IS02"
"HKB0033_3006_T"	"S02"	"IS02"
"HKB0036_3006_T"	"S02"	"IS02"
"HKB0038_3006_T"	"S02"	"IS02"
"HKB0056_3002_T"	"S02"	"IS02"
"HKB0065_3006_T"	"S02"	"IS02"
"HKB0067_3006_T"	"S02"	"IS02"
"HKB0078_3000_T"	"S02"	"IS02"
"HKB0079_3006_T"	"S02"	"IS02"
