"ID"	"State"	"InitialState"
"BC_HKB0022_649_T"	"S02"	"IS11"
"BC_HKB0567_M1337_T"	"S02"	"IS11"
"BC_HKB0757_1496_T"	"S02"	"IS11"
"BC_HKB0838_1563_T"	"S02"	"IS11"
"BC_HKB0199_1263_T"	"S02"	"IS11"
"BC_HKB0761_1499_T"	"S02"	"IS11"
"BC_HKB0890_1550_T"	"S02"	"IS11"
"HKB0049_3006_T"	"S02"	"IS11"
"HKB0052_3000_T"	"S02"	"IS11"
"HKB0054_3000_T"	"S02"	"IS11"
"HKB0064_3004_T"	"S02"	"IS11"
"HKB0074_3000_T"	"S02"	"IS11"
"HKB0120_3000_T"	"S02"	"IS11"
"HKB0124_3003_T"	"S02"	"IS11"
"HKB0129_3000_T"	"S02"	"IS11"
"HKB0155_3000_T"	"S02"	"IS11"
"HKB0158_3006_T"	"S02"	"IS11"
"HKB0160_3000_T"	"S02"	"IS11"
"HKB0161_3001_T"	"S02"	"IS11"
"HKB0186_3000_T"	"S02"	"IS11"
"HKB0207_3001_T"	"S02"	"IS11"
"HKB0552_3000_T"	"S02"	"IS11"
"HKB0573_3000_T"	"S02"	"IS11"
"HKB0719_3002_T"	"S02"	"IS11"
"BC_HKB0729_1445_T"	"S03"	"IS09"
"BC_HKB0187_1214_T"	"S03"	"IS09"
"BC_HKB0215_1134_T"	"S03"	"IS09"
"HKB0007_3005_T"	"S03"	"IS09"
"HKB0016_3006_T"	"S03"	"IS09"
"HKB0023_3006_T"	"S03"	"IS09"
"HKB0033_3006_T"	"S03"	"IS09"
"HKB0038_3006_T"	"S03"	"IS09"
"HKB0088_3000_T"	"S03"	"IS09"
"HKB0098_3005_T"	"S03"	"IS09"
"HKB0101_3000_T"	"S03"	"IS09"
"HKB0143_3006_T"	"S03"	"IS09"
"HKB0191_3001_T"	"S03"	"IS09"
"HKB0208_3006_T"	"S03"	"IS09"
"HKB0209_3004_T"	"S03"	"IS09"
"HKB0219_3001_T"	"S03"	"IS09"
"HKB0232_3000_T"	"S03"	"IS09"
"HKB0576_3000_T"	"S03"	"IS09"
"HKB0638_3000_T"	"S03"	"IS09"
"HKB0665_3000_T"	"S03"	"IS09"
"HKB0668_3000_T"	"S03"	"IS09"
"HKB0698_3000_T"	"S03"	"IS09"
"HKB0701_3000_T"	"S03"	"IS09"
"HKB0734_3000_T"	"S03"	"IS09"
"HKB0737_3000_T"	"S03"	"IS09"
"HKB0744_3000_T"	"S03"	"IS09"
"HKB0006_3006_T"	"S04"	"IS03"
"HKB0008_3006_T"	"S04"	"IS03"
"HKB0031_3001_T"	"S04"	"IS03"
"HKB0035_3006_T"	"S04"	"IS03"
"HKB0067_3006_T"	"S04"	"IS03"
"HKB0086_3006_T"	"S04"	"IS03"
"HKB0159_3006_T"	"S04"	"IS03"
"HKB0164_3006_T"	"S04"	"IS03"
"HKB0168_3006_T"	"S04"	"IS03"
"HKB0179_3006_T"	"S04"	"IS03"
"HKB0196_3006_T"	"S04"	"IS03"
"HKB0214_3006_T"	"S04"	"IS03"
"HKB0221_3001_T"	"S04"	"IS03"
"HKB0222_3006_T"	"S04"	"IS03"
"HKB0225_3001_T"	"S04"	"IS03"
"HKB0226_3001_T"	"S04"	"IS03"
"HKB0558_3000_T"	"S04"	"IS03"
"HKB0564_3000_T"	"S04"	"IS03"
"HKB0579_3000_T"	"S04"	"IS03"
"HKB0599_3000_T"	"S04"	"IS03"
"HKB0718_3000_T"	"S04"	"IS03"
"HKB0721_3000_T"	"S04"	"IS03"
"HKB0722_3002_T"	"S04"	"IS03"
"HKB0726_3000_T"	"S04"	"IS03"
"BC_HKB0764_1510_T"	"S05"	"IS08"
"BC_HKB2119_1690_T"	"S05"	"IS08"
"BC_HKB0902_1617_T"	"S05"	"IS08"
"BC_HKB0913_1654_T"	"S05"	"IS08"
"HKB0078_3000_T"	"S05"	"IS08"
"HKB0141_3006_T"	"S05"	"IS08"
"HKB0228_3002_T"	"S05"	"IS08"
