"ID"	"State"	"InitialState"
"BC_HKB0567_M1337_T"	"S01"	"IS04"
"BC_HKB0741_1471_T"	"S01"	"IS04"
"BC_HKB0757_1496_T"	"S01"	"IS04"
"BC_HKB2106_1619_T"	"S01"	"IS04"
"BC_HKB0772_1460_T"	"S01"	"IS04"
"BC_HKB0763_1511_T"	"S01"	"IS04"
"BC_HKB2107_1620_T"	"S01"	"IS04"
"BC_HKB0838_1563_T"	"S01"	"IS04"
"BC_HKB0199_1263_T"	"S01"	"IS04"
"BC_HKB0738_1475_T"	"S01"	"IS04"
"BC_HKB0761_1499_T"	"S01"	"IS04"
"BC_HKB0890_1550_T"	"S01"	"IS04"
"BC_HKB0728_1447_T"	"S01"	"IS04"
"HKB0052_3000_T"	"S01"	"IS04"
"HKB0054_3000_T"	"S01"	"IS04"
"HKB0064_3004_T"	"S01"	"IS04"
"HKB0074_3000_T"	"S01"	"IS04"
"HKB0097_3000_T"	"S01"	"IS04"
"HKB0120_3000_T"	"S01"	"IS04"
"HKB0124_3003_T"	"S01"	"IS04"
"HKB0129_3000_T"	"S01"	"IS04"
"HKB0155_3000_T"	"S01"	"IS04"
"HKB0158_3006_T"	"S01"	"IS04"
"HKB0160_3000_T"	"S01"	"IS04"
"HKB0161_3001_T"	"S01"	"IS04"
"HKB0186_3000_T"	"S01"	"IS04"
"HKB0207_3001_T"	"S01"	"IS04"
"HKB0552_3000_T"	"S01"	"IS04"
"HKB0573_3000_T"	"S01"	"IS04"
"HKB0620_3000_T"	"S01"	"IS04"
"HKB0719_3002_T"	"S01"	"IS04"
"BC_HKB0775_1470_T"	"S02"	"IS06"
"BC_HKB1366_1663_T"	"S02"	"IS06"
"BC_HKB0876_1543_T"	"S02"	"IS06"
"BC_HKB2116_1671_T"	"S02"	"IS06"
"HKB0092_3000_T"	"S02"	"IS06"
"BC_HKB0555_1321_T"	"S03"	"IS08"
"BC_HKB2123_1695_T"	"S03"	"IS08"
"BC_HKB0570_1319_T"	"S03"	"IS08"
"BC_HKB0834_1553_T"	"S03"	"IS08"
"BC_HKB0878_1544_T"	"S03"	"IS08"
"BC_HKB0733_1459_T"	"S03"	"IS08"
"BC_HKB2109_1628_T"	"S03"	"IS08"
"BC_HKB2119_1690_T"	"S03"	"IS08"
"BC_HKB0588_M1349_T"	"S03"	"IS08"
"BC_HKB0715_1407_T"	"S03"	"IS08"
"BC_HKB0874_1537_T"	"S03"	"IS08"
"BC_HKB0894_1583_T"	"S03"	"IS08"
"BC_HKB0774_1469_T"	"S03"	"IS08"
"BC_HKB2105_1618_T"	"S03"	"IS08"
"HKB0006_3006_T"	"S03"	"IS08"
"HKB0078_3000_T"	"S03"	"IS08"
"HKB0147_3000_T"	"S03"	"IS08"
"HKB0159_3006_T"	"S03"	"IS08"
"HKB0196_3006_T"	"S03"	"IS08"
"HKB0222_3006_T"	"S03"	"IS08"
"HKB0227_3006_T"	"S03"	"IS08"
"HKB0228_3002_T"	"S03"	"IS08"
"HKB0230_3006_T"	"S03"	"IS08"
"HKB0540_3000_T"	"S03"	"IS08"
"HKB0585_3000_T"	"S03"	"IS08"
"HKB0713_3000_T"	"S03"	"IS08"
"HKB0726_3000_T"	"S03"	"IS08"
"HKB0748_3000_T"	"S03"	"IS08"
"HKB0750_3000_T"	"S03"	"IS08"
"BC_HKB0022_649_T"	"S04"	"IS02"
"BC_HKB0831_1520_T"	"S04"	"IS02"
"BC_HKB1385_1721_T"	"S04"	"IS02"
"BC_HKB0779_1486_T"	"S04"	"IS02"
"BC_HKB0873_1549_T"	"S04"	"IS02"
"BC_HKB0899_M1605_T"	"S04"	"IS02"
"BC_HKB0543_1306_T"	"S04"	"IS02"
"HKB0040_3002_T"	"S04"	"IS02"
"HKB0050_3005_T"	"S04"	"IS02"
"HKB0069_3000_T"	"S04"	"IS02"
"HKB0079_3006_T"	"S04"	"IS02"
"HKB0094_3006_T"	"S04"	"IS02"
"HKB0127_3006_T"	"S04"	"IS02"
"HKB0167_3006_T"	"S04"	"IS02"
"HKB0194_3006_T"	"S04"	"IS02"
"HKB0220_3000_T"	"S04"	"IS02"
"HKB0659_3000_T"	"S04"	"IS02"
"HKB0674_3000_T"	"S04"	"IS02"
"HKB0683_3000_T"	"S04"	"IS02"
"HKB0736_3000_T"	"S04"	"IS02"
"HKB0751_3000_T"	"S04"	"IS02"
"HKB0752_3000_T"	"S04"	"IS02"
"BC_HKB0917_1656_T"	"S05"	"IS05"
"BC_HKB0913_1654_T"	"S05"	"IS05"
"BC_HKB0215_1134_T"	"S05"	"IS05"
"HKB0007_3005_T"	"S05"	"IS05"
"HKB0008_3006_T"	"S05"	"IS05"
"HKB0016_3006_T"	"S05"	"IS05"
"HKB0023_3006_T"	"S05"	"IS05"
"HKB0031_3001_T"	"S05"	"IS05"
"HKB0033_3006_T"	"S05"	"IS05"
"HKB0038_3006_T"	"S05"	"IS05"
"HKB0049_3006_T"	"S05"	"IS05"
"HKB0067_3006_T"	"S05"	"IS05"
"HKB0080_3006_T"	"S05"	"IS05"
"HKB0086_3006_T"	"S05"	"IS05"
"HKB0088_3000_T"	"S05"	"IS05"
"HKB0089_3001_T"	"S05"	"IS05"
"HKB0098_3005_T"	"S05"	"IS05"
"HKB0101_3000_T"	"S05"	"IS05"
"HKB0102_3006_T"	"S05"	"IS05"
"HKB0115_3006_T"	"S05"	"IS05"
"HKB0123_3006_T"	"S05"	"IS05"
"HKB0141_3006_T"	"S05"	"IS05"
"HKB0143_3006_T"	"S05"	"IS05"
"HKB0162_3006_T"	"S05"	"IS05"
"HKB0164_3006_T"	"S05"	"IS05"
"HKB0168_3006_T"	"S05"	"IS05"
"HKB0179_3006_T"	"S05"	"IS05"
"HKB0182_3006_T"	"S05"	"IS05"
"HKB0191_3001_T"	"S05"	"IS05"
"HKB0208_3006_T"	"S05"	"IS05"
"HKB0209_3004_T"	"S05"	"IS05"
"HKB0214_3006_T"	"S05"	"IS05"
"HKB0219_3001_T"	"S05"	"IS05"
"HKB0221_3001_T"	"S05"	"IS05"
"HKB0226_3001_T"	"S05"	"IS05"
"HKB0558_3000_T"	"S05"	"IS05"
"HKB0564_3000_T"	"S05"	"IS05"
"HKB0576_3000_T"	"S05"	"IS05"
"HKB0579_3000_T"	"S05"	"IS05"
"HKB0599_3000_T"	"S05"	"IS05"
"HKB0605_3000_T"	"S05"	"IS05"
"HKB0638_3000_T"	"S05"	"IS05"
"HKB0653_3000_T"	"S05"	"IS05"
"HKB0665_3000_T"	"S05"	"IS05"
"HKB0668_3000_T"	"S05"	"IS05"
"HKB0698_3000_T"	"S05"	"IS05"
"HKB0701_3000_T"	"S05"	"IS05"
"HKB0718_3000_T"	"S05"	"IS05"
"HKB0722_3002_T"	"S05"	"IS05"
"HKB0734_3000_T"	"S05"	"IS05"
"HKB0737_3000_T"	"S05"	"IS05"
"HKB0744_3000_T"	"S05"	"IS05"
"HKB0070_3002_T"	"S06"	"IS07"
"HKB0134_3006_T"	"S06"	"IS07"
"HKB0656_3000_T"	"S06"	"IS07"
