"ID"	"State"	"InitialState"
"BC_HKB0831_1520_T"	"S01"	"IS02"
"BC_HKB1385_1721_T"	"S01"	"IS02"
"BC_HKB0779_1486_T"	"S01"	"IS02"
"BC_HKB0890_1550_T"	"S01"	"IS02"
"HKB0040_3002_T"	"S01"	"IS02"
"HKB0054_3000_T"	"S01"	"IS02"
"HKB0074_3000_T"	"S01"	"IS02"
"HKB0094_3006_T"	"S01"	"IS02"
"HKB0127_3006_T"	"S01"	"IS02"
"HKB0573_3000_T"	"S01"	"IS02"
"HKB0579_3000_T"	"S01"	"IS02"
"HKB0736_3000_T"	"S01"	"IS02"
"HKB0008_3006_T"	"S02"	"IS08"
"HKB0031_3001_T"	"S02"	"IS08"
"HKB0033_3006_T"	"S02"	"IS08"
"HKB0067_3006_T"	"S02"	"IS08"
"HKB0070_3002_T"	"S02"	"IS08"
"HKB0089_3001_T"	"S02"	"IS08"
"HKB0102_3006_T"	"S02"	"IS08"
"HKB0123_3006_T"	"S02"	"IS08"
"HKB0162_3006_T"	"S02"	"IS08"
"HKB0164_3006_T"	"S02"	"IS08"
"HKB0227_3006_T"	"S02"	"IS08"
"BC_HKB0899_M1605_T"	"S03"	"IS05"
"BC_HKB0543_1306_T"	"S03"	"IS05"
"HKB0007_3005_T"	"S03"	"IS05"
"HKB0044_3006_T"	"S03"	"IS05"
"HKB0050_3005_T"	"S03"	"IS05"
"HKB0069_3000_T"	"S03"	"IS05"
"HKB0079_3006_T"	"S03"	"IS05"
"HKB0082_3006_T"	"S03"	"IS05"
"HKB0084_3000_T"	"S03"	"IS05"
"HKB0091_3001_T"	"S03"	"IS05"
"HKB0098_3005_T"	"S03"	"IS05"
"HKB0137_3002_T"	"S03"	"IS05"
"HKB0167_3006_T"	"S03"	"IS05"
"HKB0194_3006_T"	"S03"	"IS05"
"HKB0674_3000_T"	"S03"	"IS05"
"HKB0710_3000_T"	"S03"	"IS05"
"HKB0718_3000_T"	"S03"	"IS05"
"HKB0751_3000_T"	"S03"	"IS05"
"HKB0752_3000_T"	"S03"	"IS05"
"BC_HKB0022_649_T"	"S04"	"IS11"
