"ID"	"State"	"InitialState"
"BC_HKB0882_1555_T"	"S01"	"IS07"
"BC_HKB0831_1520_T"	"S01"	"IS07"
"BC_HKB0921_1575_T"	"S01"	"IS07"
"BC_HKB1385_1721_T"	"S01"	"IS07"
"BC_HKB0779_1486_T"	"S01"	"IS07"
"BC_HKB0873_1549_T"	"S01"	"IS07"
"BC_HKB0890_1550_T"	"S01"	"IS07"
"BC_HKB0899_M1605_T"	"S01"	"IS07"
"BC_HKB0543_1306_T"	"S01"	"IS07"
"BC_HKB0728_1447_T"	"S01"	"IS07"
"HKB0040_3002_T"	"S01"	"IS07"
"HKB0069_3000_T"	"S01"	"IS07"
"HKB0079_3006_T"	"S01"	"IS07"
"HKB0082_3006_T"	"S01"	"IS07"
"HKB0094_3006_T"	"S01"	"IS07"
"HKB0098_3005_T"	"S01"	"IS07"
"HKB0167_3006_T"	"S01"	"IS07"
"HKB0214_3006_T"	"S01"	"IS07"
"HKB0659_3000_T"	"S01"	"IS07"
"HKB0718_3000_T"	"S01"	"IS07"
"HKB0751_3000_T"	"S01"	"IS07"
"BC_HKB0022_649_T"	"S02"	"IS09"
"HKB0008_3006_T"	"S02"	"IS09"
"HKB0031_3001_T"	"S02"	"IS09"
"HKB0044_3006_T"	"S02"	"IS09"
"HKB0050_3005_T"	"S02"	"IS09"
"HKB0054_3000_T"	"S02"	"IS09"
"HKB0067_3006_T"	"S02"	"IS09"
"HKB0070_3002_T"	"S02"	"IS09"
"HKB0091_3001_T"	"S02"	"IS09"
"HKB0137_3002_T"	"S02"	"IS09"
"HKB0194_3006_T"	"S02"	"IS09"
"HKB0220_3000_T"	"S02"	"IS09"
"HKB0227_3006_T"	"S02"	"IS09"
"HKB0573_3000_T"	"S02"	"IS09"
"HKB0674_3000_T"	"S02"	"IS09"
"HKB0710_3000_T"	"S02"	"IS09"
"HKB0736_3000_T"	"S02"	"IS09"
"HKB0752_3000_T"	"S02"	"IS09"
"BC_HKB0555_1321_T"	"S03"	"IS05"
"BC_HKB0187_1214_T"	"S03"	"IS05"
"BC_HKB2114_1660_T"	"S03"	"IS05"
"BC_HKB1366_1663_T"	"S03"	"IS05"
"BC_HKB0876_1543_T"	"S03"	"IS05"
"BC_HKB0874_1537_T"	"S03"	"IS05"
"HKB0210_3006_T"	"S03"	"IS05"
"BC_HKB2109_1628_T"	"S04"	"IS01"
"BC_HKB2116_1671_T"	"S04"	"IS01"
"BC_HKB0906_1627_T"	"S04"	"IS01"
"BC_HKB0745_1398_T"	"S04"	"IS01"
"BC_HKB0895_1582_T"	"S04"	"IS01"
"HKB0036_3006_T"	"S04"	"IS01"
"HKB0106_3006_T"	"S04"	"IS01"
"BC_HKB0567_M1337_T"	"S05"	"IS08"
"BC_HKB0741_1471_T"	"S05"	"IS08"
"BC_HKB0757_1496_T"	"S05"	"IS08"
"BC_HKB0828_M1542_T"	"S05"	"IS08"
"BC_HKB0199_1263_T"	"S05"	"IS08"
"BC_HKB0738_1475_T"	"S05"	"IS08"
"BC_HKB0761_1499_T"	"S05"	"IS08"
"HKB0052_3000_T"	"S05"	"IS08"
"HKB0064_3004_T"	"S05"	"IS08"
"HKB0074_3000_T"	"S05"	"IS08"
"HKB0120_3000_T"	"S05"	"IS08"
"HKB0129_3000_T"	"S05"	"IS08"
"HKB0155_3000_T"	"S05"	"IS08"
"HKB0160_3000_T"	"S05"	"IS08"
"HKB0161_3001_T"	"S05"	"IS08"
"HKB0164_3006_T"	"S05"	"IS08"
"HKB0186_3000_T"	"S05"	"IS08"
"HKB0552_3000_T"	"S05"	"IS08"
"HKB0719_3002_T"	"S05"	"IS08"
"BC_HKB0668_1298_T"	"S06"	"IS13"
"HKB0007_3005_T"	"S06"	"IS13"
"HKB0016_3006_T"	"S06"	"IS13"
"HKB0080_3006_T"	"S06"	"IS13"
"HKB0089_3001_T"	"S06"	"IS13"
"HKB0092_3000_T"	"S06"	"IS13"
"HKB0143_3006_T"	"S06"	"IS13"
"HKB0158_3006_T"	"S06"	"IS13"
"HKB0162_3006_T"	"S06"	"IS13"
"HKB0182_3006_T"	"S06"	"IS13"
"HKB0196_3006_T"	"S06"	"IS13"
"HKB0226_3001_T"	"S06"	"IS13"
"HKB0232_3000_T"	"S06"	"IS13"
"HKB0540_3000_T"	"S06"	"IS13"
"HKB0599_3000_T"	"S06"	"IS13"
"HKB0638_3000_T"	"S06"	"IS13"
"HKB0644_3000_T"	"S06"	"IS13"
"HKB0650_3000_T"	"S06"	"IS13"
"HKB0656_3000_T"	"S06"	"IS13"
"HKB0668_3000_T"	"S06"	"IS13"
"HKB0692_3000_T"	"S06"	"IS13"
"HKB0704_3000_T"	"S06"	"IS13"
"HKB0721_3000_T"	"S06"	"IS13"
"HKB0748_3000_T"	"S06"	"IS13"
