"ID"	"State"	"InitialState"
"BC_HKB0668_1298_T"	"S01"	"IS01"
"BC_HKB0834_1553_T"	"S01"	"IS01"
"BC_HKB0830_1541_T"	"S01"	"IS01"
"BC_HKB2106_1619_T"	"S01"	"IS01"
"BC_HKB0831_1520_T"	"S01"	"IS01"
"HKB0050_3005_T"	"S01"	"IS01"
"HKB0137_3002_T"	"S01"	"IS01"
"HKB0168_3006_T"	"S01"	"IS01"
"HKB0210_3006_T"	"S01"	"IS01"
"HKB0211_3002_T"	"S01"	"IS01"
"BC_HKB0567_M1337_T"	"S02"	"IS05"
"BC_HKB0917_1656_T"	"S02"	"IS05"
"BC_HKB0741_1471_T"	"S02"	"IS05"
"BC_HKB0757_1496_T"	"S02"	"IS05"
"BC_HKB0112_933_T"	"S02"	"IS05"
"BC_HKB0775_1470_T"	"S02"	"IS05"
"BC_HKB0763_1511_T"	"S02"	"IS05"
"BC_HKB0838_1563_T"	"S02"	"IS05"
"BC_HKB1385_1721_T"	"S02"	"IS05"
"BC_HKB0199_1263_T"	"S02"	"IS05"
"BC_HKB0738_1475_T"	"S02"	"IS05"
"BC_HKB0761_1499_T"	"S02"	"IS05"
"BC_HKB0873_1549_T"	"S02"	"IS05"
"BC_HKB0890_1550_T"	"S02"	"IS05"
"BC_HKB0905_1623_T"	"S02"	"IS05"
"BC_HKB0728_1447_T"	"S02"	"IS05"
"HKB0033_3006_T"	"S02"	"IS05"
"HKB0049_3006_T"	"S02"	"IS05"
"HKB0052_3000_T"	"S02"	"IS05"
"HKB0074_3000_T"	"S02"	"IS05"
"HKB0094_3006_T"	"S02"	"IS05"
"HKB0097_3000_T"	"S02"	"IS05"
"HKB0102_3006_T"	"S02"	"IS05"
"HKB0106_3006_T"	"S02"	"IS05"
"HKB0120_3000_T"	"S02"	"IS05"
"HKB0124_3003_T"	"S02"	"IS05"
"HKB0127_3006_T"	"S02"	"IS05"
"HKB0129_3000_T"	"S02"	"IS05"
"HKB0141_3006_T"	"S02"	"IS05"
"HKB0155_3000_T"	"S02"	"IS05"
"HKB0158_3006_T"	"S02"	"IS05"
"HKB0160_3000_T"	"S02"	"IS05"
"HKB0161_3001_T"	"S02"	"IS05"
"HKB0179_3006_T"	"S02"	"IS05"
"HKB0186_3000_T"	"S02"	"IS05"
"HKB0207_3001_T"	"S02"	"IS05"
"HKB0208_3006_T"	"S02"	"IS05"
"HKB0219_3001_T"	"S02"	"IS05"
"HKB0230_3006_T"	"S02"	"IS05"
"HKB0552_3000_T"	"S02"	"IS05"
