"ID"	"State"	"InitialState"
"BC_HKB0112_933_T"	"S01"	"IS04"
"BC_HKB0775_1470_T"	"S01"	"IS04"
"HKB0036_3006_T"	"S01"	"IS04"
"HKB0210_3006_T"	"S01"	"IS04"
"BC_HKB2107_1620_T"	"S02"	"IS03"
"BC_HKB0187_1214_T"	"S02"	"IS03"
"BC_HKB0759_1488_T"	"S02"	"IS03"
"BC_HKB2116_1671_T"	"S02"	"IS03"
"HKB0004_3006_T"	"S02"	"IS03"
"HKB0019_3006_T"	"S02"	"IS03"
"HKB0092_3000_T"	"S02"	"IS03"
"HKB0161_3001_T"	"S02"	"IS03"
"HKB0211_3002_T"	"S02"	"IS03"
"BC_HKB0662_1294_T"	"S03"	"IS02"
"BC_HKB0892_1559_T"	"S03"	"IS02"
"BC_HKB0022_649_T"	"S03"	"IS02"
"BC_HKB0831_1520_T"	"S03"	"IS02"
"BC_HKB2109_1628_T"	"S03"	"IS02"
"BC_HKB1385_1721_T"	"S03"	"IS02"
"BC_HKB0199_1263_T"	"S03"	"IS02"
"BC_HKB0779_1486_T"	"S03"	"IS02"
"BC_HKB0873_1549_T"	"S03"	"IS02"
"BC_HKB0890_1550_T"	"S03"	"IS02"
"BC_HKB0899_M1605_T"	"S03"	"IS02"
"BC_HKB0543_1306_T"	"S03"	"IS02"
"BC_HKB0728_1447_T"	"S03"	"IS02"
"HKB0007_3005_T"	"S03"	"IS02"
"HKB0008_3006_T"	"S03"	"IS02"
"HKB0023_3006_T"	"S03"	"IS02"
"HKB0035_3006_T"	"S03"	"IS02"
"HKB0040_3002_T"	"S03"	"IS02"
"HKB0044_3006_T"	"S03"	"IS02"
"HKB0049_3006_T"	"S03"	"IS02"
"HKB0050_3005_T"	"S03"	"IS02"
"HKB0052_3000_T"	"S03"	"IS02"
"HKB0054_3000_T"	"S03"	"IS02"
"HKB0056_3002_T"	"S03"	"IS02"
"HKB0065_3006_T"	"S03"	"IS02"
"HKB0067_3006_T"	"S03"	"IS02"
"HKB0069_3000_T"	"S03"	"IS02"
"HKB0074_3000_T"	"S03"	"IS02"
"HKB0079_3006_T"	"S03"	"IS02"
"HKB0082_3006_T"	"S03"	"IS02"
"HKB0084_3000_T"	"S03"	"IS02"
"HKB0091_3001_T"	"S03"	"IS02"
"HKB0094_3006_T"	"S03"	"IS02"
"HKB0098_3005_T"	"S03"	"IS02"
"HKB0101_3000_T"	"S03"	"IS02"
"HKB0120_3000_T"	"S03"	"IS02"
"HKB0127_3006_T"	"S03"	"IS02"
"HKB0129_3000_T"	"S03"	"IS02"
"HKB0132_3006_T"	"S03"	"IS02"
"HKB0134_3006_T"	"S03"	"IS02"
"HKB0155_3000_T"	"S03"	"IS02"
"HKB0158_3006_T"	"S03"	"IS02"
"HKB0162_3006_T"	"S03"	"IS02"
"HKB0167_3006_T"	"S03"	"IS02"
"HKB0182_3006_T"	"S03"	"IS02"
"HKB0186_3000_T"	"S03"	"IS02"
"HKB0194_3006_T"	"S03"	"IS02"
"HKB0207_3001_T"	"S03"	"IS02"
"HKB0214_3006_T"	"S03"	"IS02"
"HKB0220_3000_T"	"S03"	"IS02"
"HKB0573_3000_T"	"S03"	"IS02"
"HKB0579_3000_T"	"S03"	"IS02"
"HKB0650_3000_T"	"S03"	"IS02"
"HKB0659_3000_T"	"S03"	"IS02"
"HKB0674_3000_T"	"S03"	"IS02"
"HKB0683_3000_T"	"S03"	"IS02"
"HKB0710_3000_T"	"S03"	"IS02"
"HKB0718_3000_T"	"S03"	"IS02"
"HKB0719_3002_T"	"S03"	"IS02"
"HKB0736_3000_T"	"S03"	"IS02"
"HKB0737_3000_T"	"S03"	"IS02"
"HKB0751_3000_T"	"S03"	"IS02"
"HKB0752_3000_T"	"S03"	"IS02"
"BC_HKB2118_1689_T"	"S04"	"IS05"
"BC_HKB0730_1441_T"	"S04"	"IS05"
"BC_HKB0830_1541_T"	"S04"	"IS05"
"BC_HKB0757_1496_T"	"S04"	"IS05"
"BC_HKB0915_M1647_T"	"S04"	"IS05"
"BC_HKB2106_1619_T"	"S04"	"IS05"
"BC_HKB0056_809_T"	"S04"	"IS05"
"BC_HKB0828_M1542_T"	"S04"	"IS05"
"BC_HKB0772_1460_T"	"S04"	"IS05"
"BC_HKB0763_1511_T"	"S04"	"IS05"
"BC_HKB2128_1735_T"	"S04"	"IS05"
"BC_HKB2119_1690_T"	"S04"	"IS05"
"BC_HKB0921_1575_T"	"S04"	"IS05"
"BC_HKB0838_1563_T"	"S04"	"IS05"
"BC_HKB1366_1663_T"	"S04"	"IS05"
"BC_HKB0582_1333_T"	"S04"	"IS05"
"BC_HKB0876_1543_T"	"S04"	"IS05"
"BC_HKB2113_1657_T"	"S04"	"IS05"
"BC_HKB0874_1537_T"	"S04"	"IS05"
"BC_HKB1365_M1665_T"	"S04"	"IS05"
"BC_HKB0215_1134_T"	"S04"	"IS05"
"BC_HKB0754_1481_T"	"S04"	"IS05"
"BC_HKB0895_1582_T"	"S04"	"IS05"
"HKB0086_3006_T"	"S04"	"IS05"
"HKB0157_3006_T"	"S04"	"IS05"
