"ID"	"State"	"InitialState"
"BC_HKB0056_809_T"	"S01"	"IS08"
"BC_HKB0775_1470_T"	"S01"	"IS08"
"BC_HKB2109_1628_T"	"S01"	"IS08"
"BC_HKB0187_1214_T"	"S01"	"IS08"
"BC_HKB0899_M1605_T"	"S01"	"IS08"
"HKB0004_3006_T"	"S01"	"IS08"
"HKB0036_3006_T"	"S01"	"IS08"
"HKB0089_3001_T"	"S01"	"IS08"
"HKB0134_3006_T"	"S01"	"IS08"
"HKB0211_3002_T"	"S01"	"IS08"
"HKB0629_3000_T"	"S01"	"IS08"
"HKB0698_3000_T"	"S01"	"IS08"
"BC_HKB1385_1721_T"	"S02"	"IS07"
"BC_HKB0543_1306_T"	"S02"	"IS07"
"HKB0008_3006_T"	"S02"	"IS07"
"HKB0040_3002_T"	"S02"	"IS07"
"HKB0050_3005_T"	"S02"	"IS07"
"HKB0054_3000_T"	"S02"	"IS07"
"HKB0069_3000_T"	"S02"	"IS07"
"HKB0079_3006_T"	"S02"	"IS07"
"HKB0082_3006_T"	"S02"	"IS07"
"HKB0091_3001_T"	"S02"	"IS07"
"HKB0098_3005_T"	"S02"	"IS07"
"HKB0120_3000_T"	"S02"	"IS07"
"HKB0162_3006_T"	"S02"	"IS07"
"HKB0167_3006_T"	"S02"	"IS07"
"HKB0186_3000_T"	"S02"	"IS07"
"HKB0194_3006_T"	"S02"	"IS07"
"HKB0207_3001_T"	"S02"	"IS07"
"HKB0214_3006_T"	"S02"	"IS07"
"HKB0220_3000_T"	"S02"	"IS07"
"HKB0573_3000_T"	"S02"	"IS07"
"HKB0579_3000_T"	"S02"	"IS07"
"HKB0650_3000_T"	"S02"	"IS07"
"HKB0659_3000_T"	"S02"	"IS07"
"HKB0674_3000_T"	"S02"	"IS07"
"HKB0683_3000_T"	"S02"	"IS07"
"HKB0710_3000_T"	"S02"	"IS07"
"HKB0718_3000_T"	"S02"	"IS07"
"HKB0736_3000_T"	"S02"	"IS07"
"HKB0751_3000_T"	"S02"	"IS07"
"HKB0752_3000_T"	"S02"	"IS07"
"BC_HKB0555_1321_T"	"S03"	"IS10"
"BC_HKB0892_1559_T"	"S03"	"IS10"
"BC_HKB0112_933_T"	"S03"	"IS10"
"BC_HKB2119_1690_T"	"S03"	"IS10"
"BC_HKB2114_1660_T"	"S03"	"IS10"
"BC_HKB0876_1543_T"	"S03"	"IS10"
"BC_HKB1370_1673_T"	"S03"	"IS10"
"BC_HKB2116_1671_T"	"S03"	"IS10"
"BC_HKB1365_M1665_T"	"S03"	"IS10"
"BC_HKB0728_1447_T"	"S03"	"IS10"
"HKB0007_3005_T"	"S03"	"IS10"
"HKB0016_3006_T"	"S03"	"IS10"
"HKB0023_3006_T"	"S03"	"IS10"
"HKB0092_3000_T"	"S03"	"IS10"
"HKB0125_3006_T"	"S03"	"IS10"
"HKB0132_3006_T"	"S03"	"IS10"
"HKB0143_3006_T"	"S03"	"IS10"
"HKB0164_3006_T"	"S03"	"IS10"
"BC_HKB0662_1294_T"	"S04"	"IS05"
"BC_HKB0904_1595_T"	"S04"	"IS05"
"HKB0005_3001_T"	"S04"	"IS05"
"HKB0056_3002_T"	"S04"	"IS05"
"HKB0065_3006_T"	"S04"	"IS05"
"HKB0084_3000_T"	"S04"	"IS05"
"HKB0157_3006_T"	"S04"	"IS05"
"HKB0210_3006_T"	"S04"	"IS05"
"HKB0626_3000_T"	"S04"	"IS05"
"HKB0644_3000_T"	"S04"	"IS05"
"HKB0677_3000_T"	"S04"	"IS05"
"BC_HKB0668_1298_T"	"S05"	"IS01"
"BC_HKB0022_649_T"	"S05"	"IS01"
"BC_HKB0567_M1337_T"	"S05"	"IS01"
"BC_HKB0917_1656_T"	"S05"	"IS01"
"BC_HKB0741_1471_T"	"S05"	"IS01"
"BC_HKB0827_1539_T"	"S05"	"IS01"
"BC_HKB0757_1496_T"	"S05"	"IS01"
"BC_HKB0882_1555_T"	"S05"	"IS01"
"BC_HKB2106_1619_T"	"S05"	"IS01"
"BC_HKB0733_1459_T"	"S05"	"IS01"
"BC_HKB0828_M1542_T"	"S05"	"IS01"
"BC_HKB0831_1520_T"	"S05"	"IS01"
"BC_HKB0772_1460_T"	"S05"	"IS01"
"BC_HKB0763_1511_T"	"S05"	"IS01"
"BC_HKB2107_1620_T"	"S05"	"IS01"
"BC_HKB0689_M1326_T"	"S05"	"IS01"
"BC_HKB0838_1563_T"	"S05"	"IS01"
"BC_HKB1366_1663_T"	"S05"	"IS01"
"BC_HKB0199_1263_T"	"S05"	"IS01"
"BC_HKB0582_1333_T"	"S05"	"IS01"
"BC_HKB0761_1499_T"	"S05"	"IS01"
"BC_HKB0873_1549_T"	"S05"	"IS01"
"BC_HKB0902_1617_T"	"S05"	"IS01"
"BC_HKB0786_1508_T"	"S05"	"IS01"
"HKB0052_3000_T"	"S05"	"IS01"
"HKB0074_3000_T"	"S05"	"IS01"
"HKB0129_3000_T"	"S05"	"IS01"
"HKB0158_3006_T"	"S05"	"IS01"
"HKB0160_3000_T"	"S05"	"IS01"
"HKB0161_3001_T"	"S05"	"IS01"
"HKB0719_3002_T"	"S05"	"IS01"
"BC_HKB2112_1636_T"	"S06"	"IS04"
"BC_HKB0759_1488_T"	"S06"	"IS04"
"BC_HKB0905_1623_T"	"S06"	"IS04"
"BC_HKB1369_1679_T"	"S06"	"IS04"
"BC_HKB0833_1552_T"	"S06"	"IS04"
"BC_HKB2127_1726_T"	"S06"	"IS04"
"HKB0035_3006_T"	"S06"	"IS04"
"HKB0121_3006_T"	"S06"	"IS04"
"HKB0159_3006_T"	"S06"	"IS04"
"HKB0209_3004_T"	"S06"	"IS04"
"HKB0228_3002_T"	"S06"	"IS04"
"HKB0558_3000_T"	"S06"	"IS04"
"HKB0599_3000_T"	"S06"	"IS04"
"HKB0668_3000_T"	"S06"	"IS04"
"HKB0097_3000_T"	"S07"	"IS03"
"HKB0196_3006_T"	"S07"	"IS03"
"BC_HKB0915_M1647_T"	"S08"	"IS06"
"BC_HKB0921_1575_T"	"S08"	"IS06"
"BC_HKB0632_1381_T"	"S08"	"IS06"
"HKB0044_3006_T"	"S08"	"IS06"
