"ID"	"State"	"InitialState"
"BC_HKB0917_1656_T"	"S01"	"IS05"
"BC_HKB0915_M1647_T"	"S01"	"IS05"
"BC_HKB2109_1628_T"	"S01"	"IS05"
"BC_HKB0187_1214_T"	"S01"	"IS05"
"BC_HKB0759_1488_T"	"S01"	"IS05"
"BC_HKB1366_1663_T"	"S01"	"IS05"
"HKB0086_3006_T"	"S01"	"IS05"
"HKB0089_3001_T"	"S01"	"IS05"
"HKB0168_3006_T"	"S01"	"IS05"
"BC_HKB2118_1689_T"	"S02"	"IS04"
"BC_HKB0112_933_T"	"S02"	"IS04"
"BC_HKB0921_1575_T"	"S02"	"IS04"
"BC_HKB1385_1721_T"	"S02"	"IS04"
"BC_HKB0641_1392_T"	"S02"	"IS04"
"BC_HKB1370_1673_T"	"S02"	"IS04"
"BC_HKB0899_M1605_T"	"S02"	"IS04"
"BC_HKB2127_1726_T"	"S02"	"IS04"
"HKB0007_3005_T"	"S02"	"IS04"
"HKB0079_3006_T"	"S02"	"IS04"
"HKB0143_3006_T"	"S02"	"IS04"
"HKB0211_3002_T"	"S02"	"IS04"
"HKB0752_3000_T"	"S02"	"IS04"
"BC_HKB0555_1321_T"	"S03"	"IS08"
"BC_HKB0662_1294_T"	"S03"	"IS08"
"BC_HKB0892_1559_T"	"S03"	"IS08"
"BC_HKB0923_1584_T"	"S03"	"IS08"
"BC_HKB2106_1619_T"	"S03"	"IS08"
"BC_HKB0056_809_T"	"S03"	"IS08"
"BC_HKB0775_1470_T"	"S03"	"IS08"
"BC_HKB0772_1460_T"	"S03"	"IS08"
"BC_HKB0761_1499_T"	"S03"	"IS08"
"BC_HKB0876_1543_T"	"S03"	"IS08"
"HKB0004_3006_T"	"S03"	"IS08"
"HKB0005_3001_T"	"S03"	"IS08"
"HKB0019_3006_T"	"S03"	"IS08"
"HKB0023_3006_T"	"S03"	"IS08"
"HKB0036_3006_T"	"S03"	"IS08"
"HKB0038_3006_T"	"S03"	"IS08"
"HKB0044_3006_T"	"S03"	"IS08"
"HKB0056_3002_T"	"S03"	"IS08"
"HKB0065_3006_T"	"S03"	"IS08"
"HKB0069_3000_T"	"S03"	"IS08"
"HKB0084_3000_T"	"S03"	"IS08"
"HKB0091_3001_T"	"S03"	"IS08"
"HKB0125_3006_T"	"S03"	"IS08"
"HKB0134_3006_T"	"S03"	"IS08"
"HKB0157_3006_T"	"S03"	"IS08"
"HKB0161_3001_T"	"S03"	"IS08"
"HKB0182_3006_T"	"S03"	"IS08"
"HKB0210_3006_T"	"S03"	"IS08"
"HKB0233_3006_T"	"S03"	"IS08"
"HKB0626_3000_T"	"S03"	"IS08"
"HKB0644_3000_T"	"S03"	"IS08"
"HKB0650_3000_T"	"S03"	"IS08"
"HKB0659_3000_T"	"S03"	"IS08"
"HKB0665_3000_T"	"S03"	"IS08"
"HKB0677_3000_T"	"S03"	"IS08"
"HKB0710_3000_T"	"S03"	"IS08"
"HKB0734_3000_T"	"S03"	"IS08"
"BC_HKB2112_1636_T"	"S04"	"IS03"
"BC_HKB0830_1541_T"	"S04"	"IS03"
"BC_HKB0882_1555_T"	"S04"	"IS03"
"BC_HKB2107_1620_T"	"S04"	"IS03"
"BC_HKB0728_1447_T"	"S04"	"IS03"
"BC_HKB0754_1481_T"	"S04"	"IS03"
"BC_HKB0733_1459_T"	"S05"	"IS01"
"BC_HKB2119_1690_T"	"S05"	"IS01"
"BC_HKB1372_1697_T"	"S05"	"IS01"
"BC_HKB0906_1627_T"	"S05"	"IS01"
"BC_HKB0715_1407_T"	"S05"	"IS01"
"BC_HKB0895_1582_T"	"S05"	"IS01"
"BC_HKB0022_649_T"	"S06"	"IS06"
"BC_HKB0567_M1337_T"	"S06"	"IS06"
"BC_HKB0561_1308_T"	"S06"	"IS06"
"BC_HKB0741_1471_T"	"S06"	"IS06"
"BC_HKB0827_1539_T"	"S06"	"IS06"
"BC_HKB0757_1496_T"	"S06"	"IS06"
"BC_HKB0828_M1542_T"	"S06"	"IS06"
"BC_HKB0831_1520_T"	"S06"	"IS06"
"BC_HKB0838_1563_T"	"S06"	"IS06"
"BC_HKB0199_1263_T"	"S06"	"IS06"
"BC_HKB0582_1333_T"	"S06"	"IS06"
"BC_HKB0738_1475_T"	"S06"	"IS06"
