"ID"	"State"	"InitialState"
"BC_HKB0022_649_T"	"S01"	"IS05"
"BC_HKB0567_M1337_T"	"S01"	"IS05"
"BC_HKB0757_1496_T"	"S01"	"IS05"
"BC_HKB0763_1511_T"	"S01"	"IS05"
"BC_HKB0838_1563_T"	"S01"	"IS05"
"BC_HKB0199_1263_T"	"S01"	"IS05"
"BC_HKB0738_1475_T"	"S01"	"IS05"
"BC_HKB0761_1499_T"	"S01"	"IS05"
"BC_HKB0890_1550_T"	"S01"	"IS05"
"BC_HKB0728_1447_T"	"S01"	"IS05"
"HKB0033_3006_T"	"S01"	"IS05"
"HKB0049_3006_T"	"S01"	"IS05"
"HKB0052_3000_T"	"S01"	"IS05"
"HKB0054_3000_T"	"S01"	"IS05"
"HKB0064_3004_T"	"S01"	"IS05"
"HKB0074_3000_T"	"S01"	"IS05"
"HKB0097_3000_T"	"S01"	"IS05"
"HKB0102_3006_T"	"S01"	"IS05"
"HKB0120_3000_T"	"S01"	"IS05"
"HKB0124_3003_T"	"S01"	"IS05"
"HKB0127_3006_T"	"S01"	"IS05"
"HKB0129_3000_T"	"S01"	"IS05"
"HKB0143_3006_T"	"S01"	"IS05"
"HKB0155_3000_T"	"S01"	"IS05"
"HKB0158_3006_T"	"S01"	"IS05"
"HKB0160_3000_T"	"S01"	"IS05"
"HKB0161_3001_T"	"S01"	"IS05"
"HKB0162_3006_T"	"S01"	"IS05"
"HKB0186_3000_T"	"S01"	"IS05"
"HKB0207_3001_T"	"S01"	"IS05"
"HKB0220_3000_T"	"S01"	"IS05"
"HKB0552_3000_T"	"S01"	"IS05"
"HKB0573_3000_T"	"S01"	"IS05"
"HKB0579_3000_T"	"S01"	"IS05"
"HKB0683_3000_T"	"S01"	"IS05"
"HKB0719_3002_T"	"S01"	"IS05"
"HKB0751_3000_T"	"S01"	"IS05"
"BC_HKB0112_933_T"	"S02"	"IS01"
"HKB0211_3002_T"	"S02"	"IS01"
"HKB0005_3001_T"	"S03"	"IS06"
"HKB0006_3006_T"	"S03"	"IS06"
"HKB0007_3005_T"	"S03"	"IS06"
"HKB0008_3006_T"	"S03"	"IS06"
