"ID"	"State"	"InitialState"
"BC_HKB0662_1294_T"	"S01"	"IS02"
"BC_HKB0892_1559_T"	"S01"	"IS02"
"BC_HKB0056_809_T"	"S01"	"IS02"
"HKB0004_3006_T"	"S01"	"IS02"
"HKB0005_3001_T"	"S01"	"IS02"
"HKB0019_3006_T"	"S01"	"IS02"
"HKB0036_3006_T"	"S01"	"IS02"
"HKB0056_3002_T"	"S01"	"IS02"
"HKB0065_3006_T"	"S01"	"IS02"
"HKB0084_3000_T"	"S01"	"IS02"
"HKB0091_3001_T"	"S01"	"IS02"
"HKB0125_3006_T"	"S01"	"IS02"
"HKB0134_3006_T"	"S01"	"IS02"
"HKB0157_3006_T"	"S01"	"IS02"
"HKB0182_3006_T"	"S01"	"IS02"
"HKB0210_3006_T"	"S01"	"IS02"
"HKB0211_3002_T"	"S01"	"IS02"
"HKB0626_3000_T"	"S01"	"IS02"
"HKB0644_3000_T"	"S01"	"IS02"
"HKB0659_3000_T"	"S01"	"IS02"
"HKB0677_3000_T"	"S01"	"IS02"
"HKB0710_3000_T"	"S01"	"IS02"
"BC_HKB0759_1488_T"	"S02"	"IS05"
"HKB0007_3005_T"	"S02"	"IS05"
"HKB0016_3006_T"	"S02"	"IS05"
"HKB0098_3005_T"	"S02"	"IS05"
"HKB0102_3006_T"	"S02"	"IS05"
"HKB0121_3006_T"	"S02"	"IS05"
"HKB0137_3002_T"	"S02"	"IS05"
"HKB0155_3000_T"	"S02"	"IS05"
"HKB0159_3006_T"	"S02"	"IS05"
"HKB0179_3006_T"	"S02"	"IS05"
"HKB0194_3006_T"	"S02"	"IS05"
"HKB0214_3006_T"	"S02"	"IS05"
"HKB0217_3005_T"	"S02"	"IS05"
"HKB0228_3002_T"	"S02"	"IS05"
"HKB0558_3000_T"	"S02"	"IS05"
"HKB0599_3000_T"	"S02"	"IS05"
"HKB0620_3000_T"	"S02"	"IS05"
"HKB0653_3000_T"	"S02"	"IS05"
"HKB0698_3000_T"	"S02"	"IS05"
"HKB0704_3000_T"	"S02"	"IS05"
"HKB0713_3000_T"	"S02"	"IS05"
"HKB0721_3000_T"	"S02"	"IS05"
"HKB0722_3002_T"	"S02"	"IS05"
"BC_HKB0834_1553_T"	"S03"	"IS07"
"BC_HKB0733_1459_T"	"S03"	"IS07"
"BC_HKB2109_1628_T"	"S03"	"IS07"
"BC_HKB2108_1624_T"	"S03"	"IS07"
"HKB0006_3006_T"	"S03"	"IS07"
"HKB0033_3006_T"	"S03"	"IS07"
"HKB0035_3006_T"	"S03"	"IS07"
"HKB0078_3000_T"	"S03"	"IS07"
"HKB0094_3006_T"	"S03"	"IS07"
"HKB0104_3006_T"	"S03"	"IS07"
"HKB0191_3001_T"	"S03"	"IS07"
"HKB0196_3006_T"	"S03"	"IS07"
"HKB0222_3006_T"	"S03"	"IS07"
"HKB0225_3001_T"	"S03"	"IS07"
"HKB0232_3000_T"	"S03"	"IS07"
"HKB0540_3000_T"	"S03"	"IS07"
"HKB0638_3000_T"	"S03"	"IS07"
"HKB0683_3000_T"	"S03"	"IS07"
"HKB0748_3000_T"	"S03"	"IS07"
"BC_HKB0022_649_T"	"S04"	"IS06"
"BC_HKB1385_1721_T"	"S04"	"IS06"
"BC_HKB0873_1549_T"	"S04"	"IS06"
"BC_HKB0899_M1605_T"	"S04"	"IS06"
"BC_HKB0543_1306_T"	"S04"	"IS06"
"HKB0040_3002_T"	"S04"	"IS06"
"HKB0050_3005_T"	"S04"	"IS06"
"HKB0069_3000_T"	"S04"	"IS06"
"HKB0167_3006_T"	"S04"	"IS06"
"HKB0674_3000_T"	"S04"	"IS06"
"HKB0736_3000_T"	"S04"	"IS06"
"BC_HKB0567_M1337_T"	"S05"	"IS12"
"BC_HKB0112_933_T"	"S05"	"IS12"
"BC_HKB0775_1470_T"	"S05"	"IS12"
"BC_HKB0199_1263_T"	"S05"	"IS12"
"BC_HKB0761_1499_T"	"S05"	"IS12"
"BC_HKB0890_1550_T"	"S05"	"IS12"
"BC_HKB0728_1447_T"	"S05"	"IS12"
"HKB0052_3000_T"	"S05"	"IS12"
"HKB0054_3000_T"	"S05"	"IS12"
"HKB0064_3004_T"	"S05"	"IS12"
"HKB0074_3000_T"	"S05"	"IS12"
"HKB0120_3000_T"	"S05"	"IS12"
"HKB0124_3003_T"	"S05"	"IS12"
"HKB0129_3000_T"	"S05"	"IS12"
"HKB0158_3006_T"	"S05"	"IS12"
"HKB0160_3000_T"	"S05"	"IS12"
"HKB0161_3001_T"	"S05"	"IS12"
"HKB0186_3000_T"	"S05"	"IS12"
"HKB0207_3001_T"	"S05"	"IS12"
"HKB0573_3000_T"	"S05"	"IS12"
"HKB0719_3002_T"	"S05"	"IS12"
"BC_HKB0729_1445_T"	"S06"	"IS09"
"BC_HKB0917_1656_T"	"S06"	"IS09"
"BC_HKB0187_1214_T"	"S06"	"IS09"
"BC_HKB0913_1654_T"	"S06"	"IS09"
"BC_HKB0215_1134_T"	"S06"	"IS09"
"HKB0038_3006_T"	"S06"	"IS09"
"HKB0209_3004_T"	"S06"	"IS09"
"HKB0576_3000_T"	"S06"	"IS09"
"HKB0665_3000_T"	"S06"	"IS09"
"HKB0701_3000_T"	"S06"	"IS09"
"HKB0737_3000_T"	"S06"	"IS09"
"HKB0008_3006_T"	"S07"	"IS01"
"HKB0023_3006_T"	"S07"	"IS01"
"HKB0049_3006_T"	"S07"	"IS01"
"HKB0067_3006_T"	"S07"	"IS01"
"HKB0086_3006_T"	"S07"	"IS01"
"HKB0088_3000_T"	"S07"	"IS01"
"HKB0097_3000_T"	"S07"	"IS01"
"HKB0101_3000_T"	"S07"	"IS01"
"HKB0108_3000_T"	"S07"	"IS01"
"HKB0115_3006_T"	"S07"	"IS01"
"HKB0123_3006_T"	"S07"	"IS01"
"HKB0141_3006_T"	"S07"	"IS01"
"HKB0164_3006_T"	"S07"	"IS01"
"HKB0168_3006_T"	"S07"	"IS01"
"HKB0208_3006_T"	"S07"	"IS01"
"HKB0219_3001_T"	"S07"	"IS01"
"HKB0220_3000_T"	"S07"	"IS01"
"HKB0221_3001_T"	"S07"	"IS01"
"HKB0226_3001_T"	"S07"	"IS01"
"HKB0552_3000_T"	"S07"	"IS01"
"HKB0564_3000_T"	"S07"	"IS01"
"HKB0579_3000_T"	"S07"	"IS01"
"HKB0605_3000_T"	"S07"	"IS01"
"HKB0656_3000_T"	"S07"	"IS01"
"HKB0726_3000_T"	"S07"	"IS01"
"HKB0734_3000_T"	"S07"	"IS01"
"HKB0744_3000_T"	"S07"	"IS01"
"HKB0751_3000_T"	"S07"	"IS01"
"BC_HKB0838_1563_T"	"S08"	"IS08"
"BC_HKB0726_1446_T"	"S08"	"IS08"
"BC_HKB0902_1617_T"	"S08"	"IS08"
"HKB0100_3006_T"	"S08"	"IS08"
"HKB0127_3006_T"	"S08"	"IS08"
