"ID"	"State"	"InitialState"
"BC_HKB0892_1559_T"	"S01"	"IS07"
"BC_HKB0112_933_T"	"S01"	"IS07"
"BC_HKB0838_1563_T"	"S01"	"IS07"
"BC_HKB0779_1486_T"	"S01"	"IS07"
"BC_HKB0873_1549_T"	"S01"	"IS07"
"BC_HKB0728_1447_T"	"S01"	"IS07"
"HKB0100_3006_T"	"S01"	"IS07"
"BC_HKB0022_649_T"	"S02"	"IS03"
"BC_HKB0567_M1337_T"	"S02"	"IS03"
"BC_HKB0757_1496_T"	"S02"	"IS03"
"BC_HKB0199_1263_T"	"S02"	"IS03"
"BC_HKB0738_1475_T"	"S02"	"IS03"
"BC_HKB0761_1499_T"	"S02"	"IS03"
"BC_HKB0890_1550_T"	"S02"	"IS03"
"HKB0033_3006_T"	"S02"	"IS03"
"HKB0049_3006_T"	"S02"	"IS03"
"HKB0064_3004_T"	"S02"	"IS03"
"HKB0102_3006_T"	"S02"	"IS03"
"HKB0120_3000_T"	"S02"	"IS03"
"HKB0143_3006_T"	"S02"	"IS03"
"HKB0155_3000_T"	"S02"	"IS03"
"HKB0160_3000_T"	"S02"	"IS03"
"HKB0186_3000_T"	"S02"	"IS03"
"HKB0220_3000_T"	"S02"	"IS03"
"HKB0552_3000_T"	"S02"	"IS03"
"HKB0751_3000_T"	"S02"	"IS03"
"HKB0008_3006_T"	"S03"	"IS10"
"HKB0052_3000_T"	"S03"	"IS10"
"HKB0054_3000_T"	"S03"	"IS10"
"HKB0074_3000_T"	"S03"	"IS10"
"HKB0097_3000_T"	"S03"	"IS10"
"HKB0124_3003_T"	"S03"	"IS10"
"HKB0129_3000_T"	"S03"	"IS10"
"HKB0141_3006_T"	"S03"	"IS10"
"HKB0158_3006_T"	"S03"	"IS10"
"HKB0161_3001_T"	"S03"	"IS10"
"HKB0164_3006_T"	"S03"	"IS10"
"HKB0168_3006_T"	"S03"	"IS10"
"HKB0207_3001_T"	"S03"	"IS10"
"HKB0564_3000_T"	"S03"	"IS10"
"HKB0573_3000_T"	"S03"	"IS10"
"HKB0579_3000_T"	"S03"	"IS10"
"HKB0605_3000_T"	"S03"	"IS10"
"HKB0620_3000_T"	"S03"	"IS10"
