"ID"	"State"	"InitialState"
"BC_HKB0831_1520_T"	"S01"	"IS09"
"BC_HKB1385_1721_T"	"S01"	"IS09"
"BC_HKB0779_1486_T"	"S01"	"IS09"
"BC_HKB0899_M1605_T"	"S01"	"IS09"
"BC_HKB0543_1306_T"	"S01"	"IS09"
"HKB0007_3005_T"	"S01"	"IS09"
"HKB0040_3002_T"	"S01"	"IS09"
"HKB0044_3006_T"	"S01"	"IS09"
"HKB0050_3005_T"	"S01"	"IS09"
"HKB0054_3000_T"	"S01"	"IS09"
"HKB0069_3000_T"	"S01"	"IS09"
"HKB0079_3006_T"	"S01"	"IS09"
"HKB0082_3006_T"	"S01"	"IS09"
"HKB0098_3005_T"	"S01"	"IS09"
"HKB0167_3006_T"	"S01"	"IS09"
"HKB0194_3006_T"	"S01"	"IS09"
"HKB0220_3000_T"	"S01"	"IS09"
"HKB0573_3000_T"	"S01"	"IS09"
"HKB0659_3000_T"	"S01"	"IS09"
"HKB0674_3000_T"	"S01"	"IS09"
"HKB0710_3000_T"	"S01"	"IS09"
"HKB0718_3000_T"	"S01"	"IS09"
"HKB0736_3000_T"	"S01"	"IS09"
"HKB0751_3000_T"	"S01"	"IS09"
"HKB0752_3000_T"	"S01"	"IS09"
"BC_HKB0668_1298_T"	"S03"	"IS06"
"BC_HKB0876_1543_T"	"S03"	"IS06"
"BC_HKB0632_1381_T"	"S03"	"IS06"
"BC_HKB0895_1582_T"	"S03"	"IS06"
"HKB0162_3006_T"	"S03"	"IS06"
"HKB0692_3000_T"	"S03"	"IS06"
"BC_HKB0022_649_T"	"S04"	"IS01"
"BC_HKB0729_1445_T"	"S04"	"IS01"
"BC_HKB0187_1214_T"	"S04"	"IS01"
"BC_HKB0215_1134_T"	"S04"	"IS01"
"HKB0008_3006_T"	"S04"	"IS01"
"HKB0023_3006_T"	"S04"	"IS01"
"HKB0033_3006_T"	"S04"	"IS01"
"HKB0038_3006_T"	"S04"	"IS01"
"HKB0049_3006_T"	"S04"	"IS01"
"HKB0064_3004_T"	"S04"	"IS01"
"HKB0078_3000_T"	"S04"	"IS01"
"HKB0086_3006_T"	"S04"	"IS01"
"HKB0088_3000_T"	"S04"	"IS01"
"HKB0089_3001_T"	"S04"	"IS01"
"HKB0101_3000_T"	"S04"	"IS01"
"HKB0102_3006_T"	"S04"	"IS01"
"HKB0123_3006_T"	"S04"	"IS01"
"HKB0143_3006_T"	"S04"	"IS01"
"HKB0164_3006_T"	"S04"	"IS01"
"HKB0179_3006_T"	"S04"	"IS01"
"HKB0191_3001_T"	"S04"	"IS01"
"HKB0208_3006_T"	"S04"	"IS01"
"HKB0209_3004_T"	"S04"	"IS01"
"HKB0219_3001_T"	"S04"	"IS01"
"HKB0221_3001_T"	"S04"	"IS01"
"HKB0564_3000_T"	"S04"	"IS01"
"HKB0576_3000_T"	"S04"	"IS01"
"HKB0579_3000_T"	"S04"	"IS01"
"HKB0599_3000_T"	"S04"	"IS01"
"HKB0665_3000_T"	"S04"	"IS01"
"HKB0668_3000_T"	"S04"	"IS01"
"HKB0698_3000_T"	"S04"	"IS01"
"HKB0701_3000_T"	"S04"	"IS01"
"HKB0722_3002_T"	"S04"	"IS01"
"HKB0734_3000_T"	"S04"	"IS01"
"HKB0737_3000_T"	"S04"	"IS01"
"HKB0744_3000_T"	"S04"	"IS01"
"BC_HKB0567_M1337_T"	"S05"	"IS02"
"BC_HKB0830_1541_T"	"S05"	"IS02"
"BC_HKB0917_1656_T"	"S05"	"IS02"
"BC_HKB0741_1471_T"	"S05"	"IS02"
"BC_HKB0757_1496_T"	"S05"	"IS02"
"BC_HKB2106_1619_T"	"S05"	"IS02"
"BC_HKB0112_933_T"	"S05"	"IS02"
"BC_HKB0775_1470_T"	"S05"	"IS02"
"BC_HKB0772_1460_T"	"S05"	"IS02"
"BC_HKB2107_1620_T"	"S05"	"IS02"
"BC_HKB0689_M1326_T"	"S05"	"IS02"
"BC_HKB0838_1563_T"	"S05"	"IS02"
"BC_HKB0199_1263_T"	"S05"	"IS02"
"BC_HKB0761_1499_T"	"S05"	"IS02"
"BC_HKB0873_1549_T"	"S05"	"IS02"
"BC_HKB0890_1550_T"	"S05"	"IS02"
"BC_HKB0728_1447_T"	"S05"	"IS02"
"HKB0052_3000_T"	"S05"	"IS02"
"HKB0074_3000_T"	"S05"	"IS02"
"HKB0120_3000_T"	"S05"	"IS02"
"HKB0124_3003_T"	"S05"	"IS02"
"HKB0129_3000_T"	"S05"	"IS02"
"HKB0155_3000_T"	"S05"	"IS02"
"HKB0158_3006_T"	"S05"	"IS02"
"HKB0160_3000_T"	"S05"	"IS02"
"HKB0161_3001_T"	"S05"	"IS02"
"HKB0186_3000_T"	"S05"	"IS02"
"HKB0207_3001_T"	"S05"	"IS02"
"HKB0552_3000_T"	"S05"	"IS02"
"HKB0719_3002_T"	"S05"	"IS02"
"BC_HKB0662_1294_T"	"S07"	"IS11"
"BC_HKB0892_1559_T"	"S07"	"IS11"
"BC_HKB0882_1555_T"	"S07"	"IS11"
"BC_HKB0056_809_T"	"S07"	"IS11"
"HKB0004_3006_T"	"S07"	"IS11"
"HKB0005_3001_T"	"S07"	"IS11"
"HKB0019_3006_T"	"S07"	"IS11"
"HKB0036_3006_T"	"S07"	"IS11"
"HKB0056_3002_T"	"S07"	"IS11"
"HKB0065_3006_T"	"S07"	"IS11"
"HKB0084_3000_T"	"S07"	"IS11"
"HKB0091_3001_T"	"S07"	"IS11"
"HKB0092_3000_T"	"S07"	"IS11"
"HKB0125_3006_T"	"S07"	"IS11"
"HKB0134_3006_T"	"S07"	"IS11"
"HKB0157_3006_T"	"S07"	"IS11"
"HKB0182_3006_T"	"S07"	"IS11"
"HKB0210_3006_T"	"S07"	"IS11"
"HKB0211_3002_T"	"S07"	"IS11"
"HKB0626_3000_T"	"S07"	"IS11"
"HKB0644_3000_T"	"S07"	"IS11"
"HKB0650_3000_T"	"S07"	"IS11"
"HKB0677_3000_T"	"S07"	"IS11"
