"ID"	"State"	"InitialState"
"BC_HKB0915_M1647_T"	"S01"	"IS01"
"BC_HKB2107_1620_T"	"S01"	"IS01"
"HKB0036_3006_T"	"S01"	"IS01"
"HKB0211_3002_T"	"S01"	"IS01"
"BC_HKB0892_1559_T"	"S02"	"IS06"
"BC_HKB1372_1697_T"	"S02"	"IS06"
"BC_HKB0922_1579_T"	"S02"	"IS06"
"BC_HKB1366_1663_T"	"S02"	"IS06"
"BC_HKB2113_1657_T"	"S02"	"IS06"
"HKB0023_3006_T"	"S02"	"IS06"
"HKB0092_3000_T"	"S02"	"IS06"
"HKB0132_3006_T"	"S02"	"IS06"
"HKB0143_3006_T"	"S02"	"IS06"
"HKB0147_3000_T"	"S02"	"IS06"
"HKB0207_3001_T"	"S02"	"IS06"
"BC_HKB0831_1520_T"	"S03"	"IS05"
"BC_HKB0921_1575_T"	"S03"	"IS05"
"BC_HKB1385_1721_T"	"S03"	"IS05"
"BC_HKB0779_1486_T"	"S03"	"IS05"
"BC_HKB2116_1671_T"	"S03"	"IS05"
"BC_HKB0899_M1605_T"	"S03"	"IS05"
"BC_HKB0543_1306_T"	"S03"	"IS05"
"HKB0007_3005_T"	"S03"	"IS05"
"HKB0040_3002_T"	"S03"	"IS05"
"HKB0044_3006_T"	"S03"	"IS05"
"HKB0056_3002_T"	"S03"	"IS05"
"HKB0069_3000_T"	"S03"	"IS05"
"HKB0079_3006_T"	"S03"	"IS05"
"HKB0082_3006_T"	"S03"	"IS05"
"HKB0084_3000_T"	"S03"	"IS05"
"HKB0088_3000_T"	"S03"	"IS05"
"HKB0091_3001_T"	"S03"	"IS05"
"HKB0098_3005_T"	"S03"	"IS05"
"HKB0167_3006_T"	"S03"	"IS05"
"HKB0194_3006_T"	"S03"	"IS05"
"HKB0214_3006_T"	"S03"	"IS05"
"HKB0228_3002_T"	"S03"	"IS05"
"HKB0659_3000_T"	"S03"	"IS05"
"HKB0674_3000_T"	"S03"	"IS05"
"HKB0710_3000_T"	"S03"	"IS05"
"HKB0718_3000_T"	"S03"	"IS05"
"HKB0736_3000_T"	"S03"	"IS05"
"HKB0751_3000_T"	"S03"	"IS05"
"HKB0752_3000_T"	"S03"	"IS05"
"BC_HKB0555_1321_T"	"S04"	"IS08"
"BC_HKB2112_1636_T"	"S04"	"IS08"
"BC_HKB0729_1445_T"	"S04"	"IS08"
"BC_HKB0834_1553_T"	"S04"	"IS08"
"BC_HKB0830_1541_T"	"S04"	"IS08"
"BC_HKB0917_1656_T"	"S04"	"IS08"
"BC_HKB0112_933_T"	"S04"	"IS08"
"BC_HKB0733_1459_T"	"S04"	"IS08"
"BC_HKB0828_M1542_T"	"S04"	"IS08"
"BC_HKB2119_1690_T"	"S04"	"IS08"
"BC_HKB0759_1488_T"	"S04"	"IS08"
"BC_HKB0838_1563_T"	"S04"	"IS08"
"BC_HKB1370_1673_T"	"S04"	"IS08"
"BC_HKB0906_1627_T"	"S04"	"IS08"
"BC_HKB0902_1617_T"	"S04"	"IS08"
"BC_HKB0215_1134_T"	"S04"	"IS08"
"BC_HKB2127_1726_T"	"S04"	"IS08"
"HKB0050_3005_T"	"S04"	"IS08"
"HKB0137_3002_T"	"S04"	"IS08"
"HKB0210_3006_T"	"S04"	"IS08"
"HKB0579_3000_T"	"S04"	"IS08"
"HKB0698_3000_T"	"S04"	"IS08"
"BC_HKB0689_M1326_T"	"S05"	"IS03"
"BC_HKB0632_1381_T"	"S05"	"IS03"
"BC_HKB0022_649_T"	"S06"	"IS07"
"BC_HKB0567_M1337_T"	"S06"	"IS07"
"BC_HKB0757_1496_T"	"S06"	"IS07"
"BC_HKB2106_1619_T"	"S06"	"IS07"
"BC_HKB0199_1263_T"	"S06"	"IS07"
"BC_HKB0738_1475_T"	"S06"	"IS07"
"BC_HKB0761_1499_T"	"S06"	"IS07"
"BC_HKB0873_1549_T"	"S06"	"IS07"
"BC_HKB0890_1550_T"	"S06"	"IS07"
"BC_HKB0728_1447_T"	"S06"	"IS07"
"HKB0008_3006_T"	"S06"	"IS07"
"HKB0033_3006_T"	"S06"	"IS07"
"HKB0038_3006_T"	"S06"	"IS07"
"HKB0049_3006_T"	"S06"	"IS07"
"HKB0052_3000_T"	"S06"	"IS07"
"HKB0054_3000_T"	"S06"	"IS07"
"HKB0064_3004_T"	"S06"	"IS07"
"HKB0070_3002_T"	"S06"	"IS07"
"HKB0074_3000_T"	"S06"	"IS07"
"HKB0094_3006_T"	"S06"	"IS07"
"HKB0120_3000_T"	"S06"	"IS07"
"HKB0124_3003_T"	"S06"	"IS07"
"HKB0129_3000_T"	"S06"	"IS07"
"HKB0141_3006_T"	"S06"	"IS07"
"HKB0155_3000_T"	"S06"	"IS07"
"HKB0158_3006_T"	"S06"	"IS07"
"HKB0160_3000_T"	"S06"	"IS07"
"HKB0161_3001_T"	"S06"	"IS07"
"HKB0164_3006_T"	"S06"	"IS07"
"HKB0168_3006_T"	"S06"	"IS07"
"HKB0186_3000_T"	"S06"	"IS07"
"HKB0208_3006_T"	"S06"	"IS07"
"HKB0220_3000_T"	"S06"	"IS07"
"HKB0552_3000_T"	"S06"	"IS07"
"HKB0564_3000_T"	"S06"	"IS07"
"HKB0573_3000_T"	"S06"	"IS07"
"HKB0665_3000_T"	"S06"	"IS07"
"HKB0719_3002_T"	"S06"	"IS07"
"HKB0737_3000_T"	"S06"	"IS07"
"BC_HKB0662_1294_T"	"S07"	"IS09"
"BC_HKB0056_809_T"	"S07"	"IS09"
"BC_HKB0775_1470_T"	"S07"	"IS09"
