"ID"	"State"	"InitialState"
"BC_HKB0662_1294_T"	"S01"	"IS04"
"BC_HKB0561_1308_T"	"S01"	"IS04"
"BC_HKB0923_1584_T"	"S01"	"IS04"
"BC_HKB0882_1555_T"	"S01"	"IS04"
"BC_HKB0056_809_T"	"S01"	"IS04"
"BC_HKB2107_1620_T"	"S01"	"IS04"
"BC_HKB0689_M1326_T"	"S01"	"IS04"
"BC_HKB0779_1486_T"	"S01"	"IS04"
"BC_HKB0876_1543_T"	"S01"	"IS04"
"BC_HKB0543_1306_T"	"S01"	"IS04"
"BC_HKB0728_1447_T"	"S01"	"IS04"
"BC_HKB0895_1582_T"	"S01"	"IS04"
"HKB0004_3006_T"	"S01"	"IS04"
"HKB0005_3001_T"	"S01"	"IS04"
"HKB0007_3005_T"	"S01"	"IS04"
"HKB0019_3006_T"	"S01"	"IS04"
"HKB0036_3006_T"	"S01"	"IS04"
"HKB0040_3002_T"	"S01"	"IS04"
"HKB0044_3006_T"	"S01"	"IS04"
"HKB0056_3002_T"	"S01"	"IS04"
"HKB0065_3006_T"	"S01"	"IS04"
"HKB0069_3000_T"	"S01"	"IS04"
"HKB0079_3006_T"	"S01"	"IS04"
"HKB0082_3006_T"	"S01"	"IS04"
"HKB0092_3000_T"	"S01"	"IS04"
"HKB0125_3006_T"	"S01"	"IS04"
"HKB0132_3006_T"	"S01"	"IS04"
"HKB0134_3006_T"	"S01"	"IS04"
"HKB0157_3006_T"	"S01"	"IS04"
"HKB0161_3001_T"	"S01"	"IS04"
"HKB0162_3006_T"	"S01"	"IS04"
"HKB0182_3006_T"	"S01"	"IS04"
"HKB0210_3006_T"	"S01"	"IS04"
"HKB0217_3005_T"	"S01"	"IS04"
"HKB0228_3002_T"	"S01"	"IS04"
"HKB0232_3000_T"	"S01"	"IS04"
"HKB0620_3000_T"	"S01"	"IS04"
"HKB0626_3000_T"	"S01"	"IS04"
"HKB0650_3000_T"	"S01"	"IS04"
"HKB0659_3000_T"	"S01"	"IS04"
"HKB0668_3000_T"	"S01"	"IS04"
"HKB0677_3000_T"	"S01"	"IS04"
"HKB0692_3000_T"	"S01"	"IS04"
"HKB0704_3000_T"	"S01"	"IS04"
"HKB0710_3000_T"	"S01"	"IS04"
"HKB0721_3000_T"	"S01"	"IS04"
"HKB0748_3000_T"	"S01"	"IS04"
"BC_HKB0892_1559_T"	"S02"	"IS01"
"BC_HKB0567_M1337_T"	"S02"	"IS01"
